sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,10451
Sensor ID:,29407
Sensor Type:,EXACTv2 
Start time:,2025-11-21 16:16:07
Stop time:,2025-11-28 14:07:07
Total number of logs:,9950
Maximum temperature:,91.8
Errors:,1
Stove Name:,nan
Cooking Events per day:,3.04
Cooking Time (min/day):,354.86
Number of days of cooking:,6

Timestamp,Usage EXACT 29407,Gradient EXACT 29407,Temperature EXACT 29407
2025-11-21 16:18:07,1,0.41,46.55
2025-11-21 16:20:07,1,0.47,47.64
2025-11-21 16:22:07,1,0.48,48.06
2025-11-21 16:24:07,1,0.46,48.71
2025-11-21 16:26:07,0,0.35,48.27
2025-11-21 16:28:07,0,0.29,47.24
2025-11-21 16:30:07,0,0.38,46.94
2025-11-21 16:32:07,0,0.28,46.14
2025-11-21 16:34:07,0,0.19,44.72
2025-11-21 16:36:07,0,0.16,43.27
2025-11-21 16:38:07,0,0.19,41.91
2025-11-21 16:40:07,0,0.19,40.97
2025-11-21 16:42:07,0,0.23,40.41
2025-11-21 16:44:07,0,0.14,39.44
2025-11-21 16:46:07,0,0.18,38.48
2025-11-21 16:48:07,0,0.10,37.65
2025-11-21 16:50:07,0,0.17,37.06
2025-11-21 16:52:07,0,0.15,36.54
2025-11-21 16:54:07,0,0.07,35.73
2025-11-21 16:56:07,0,0.11,34.93
2025-11-21 16:58:07,0,0.12,34.59
2025-11-21 17:00:07,0,0.05,34.01
2025-11-21 17:02:07,0,0.01,33.52
2025-11-21 17:04:07,0,0.06,33.14
2025-11-21 17:06:07,0,0.06,32.58
2025-11-21 17:08:07,0,0.01,31.87
2025-11-21 17:10:07,0,0.04,31.19
2025-11-21 17:12:07,0,0.01,30.89
2025-11-21 17:14:07,0,0.01,30.40
2025-11-21 17:16:07,0,0.01,30.03
2025-11-21 17:18:07,0,-0.01,29.69
2025-11-21 17:20:07,0,0.01,29.76
2025-11-21 17:22:07,0,0.01,30.03
2025-11-21 17:24:07,0,-0.06,30.57
2025-11-21 17:26:07,0,0.00,31.00
2025-11-21 17:28:07,0,0.01,30.89
2025-11-21 17:30:07,0,-0.05,30.49
2025-11-21 17:32:07,0,0.00,29.60
2025-11-21 17:34:07,0,-0.03,28.64
2025-11-21 17:36:07,0,0.01,28.06
2025-11-21 17:38:07,0,0.01,27.80
2025-11-21 17:40:07,0,0.05,27.68
2025-11-21 17:42:07,0,0.01,27.80
2025-11-21 17:44:07,0,0.10,28.27
2025-11-21 17:46:07,0,0.06,28.80
2025-11-21 17:48:07,0,0.09,29.46
2025-11-21 17:50:07,0,0.11,29.70
2025-11-21 17:52:07,0,0.14,30.32
2025-11-21 17:54:07,1,0.20,31.22
2025-11-21 17:56:07,1,0.22,32.14
2025-11-21 17:58:07,1,0.23,32.86
2025-11-21 18:00:07,1,0.30,34.06
2025-11-21 18:02:07,1,0.39,35.50
2025-11-21 18:04:07,1,0.41,37.18
2025-11-21 18:06:07,1,0.42,38.90
2025-11-21 18:08:07,1,0.48,40.60
2025-11-21 18:10:07,1,0.50,41.97
2025-11-21 18:12:07,1,0.57,43.44
2025-11-21 18:14:07,1,0.60,45.14
2025-11-21 18:16:07,1,0.67,46.55
2025-11-21 18:18:07,1,0.63,47.93
2025-11-21 18:20:07,1,0.71,49.49
2025-11-21 18:22:07,1,0.74,50.95
2025-11-21 18:24:07,1,0.76,52.61
2025-11-21 18:26:07,1,0.71,53.62
2025-11-21 18:28:07,1,0.66,54.65
2025-11-21 18:30:07,1,0.79,55.70
2025-11-21 18:32:07,1,0.90,56.61
2025-11-21 18:34:07,1,1.01,57.79
2025-11-21 18:36:07,1,0.96,58.83
2025-11-21 18:38:07,1,0.90,59.89
2025-11-21 18:40:07,1,0.91,60.98
2025-11-21 18:42:07,1,0.95,59.46
2025-11-21 18:44:07,1,0.78,57.62
2025-11-21 18:46:07,1,0.75,57.96
2025-11-21 18:48:07,1,0.70,58.31
2025-11-21 18:50:07,1,0.69,58.58
2025-11-21 18:52:07,1,0.62,58.74
2025-11-21 18:54:07,1,0.69,58.74
2025-11-21 18:56:07,1,0.77,59.36
2025-11-21 18:58:07,1,0.72,59.80
2025-11-21 19:00:07,1,0.64,60.16
2025-11-21 19:02:07,1,0.63,59.98
2025-11-21 19:04:07,1,0.55,59.37
2025-11-21 19:06:07,1,0.66,59.01
2025-11-21 19:08:07,1,0.62,59.09
2025-11-21 19:10:07,1,0.69,59.00
2025-11-21 19:12:07,1,0.48,57.57
2025-11-21 19:14:07,1,0.57,56.78
2025-11-21 19:16:07,1,0.93,59.27
2025-11-21 19:18:07,1,1.10,62.29
2025-11-21 19:20:07,1,1.07,64.80
2025-11-21 19:22:07,1,1.04,66.76
2025-11-21 19:24:07,1,1.08,68.25
2025-11-21 19:26:07,1,1.08,69.14
2025-11-21 19:28:07,1,1.07,69.54
2025-11-21 19:30:07,1,0.95,69.19
2025-11-21 19:32:07,1,0.87,68.36
2025-11-21 19:34:07,1,0.63,64.60
2025-11-21 19:36:07,1,0.58,55.89
2025-11-21 19:38:07,1,0.46,51.04
2025-11-21 19:40:07,1,0.49,48.14
2025-11-21 19:42:07,1,0.47,46.28
2025-11-21 19:44:07,1,0.41,44.74
2025-11-21 19:46:07,1,0.39,43.89
2025-11-21 19:48:07,1,0.45,44.08
2025-11-21 19:50:07,1,0.52,44.67
2025-11-21 19:52:07,1,0.58,45.73
2025-11-21 19:54:07,1,1.06,51.12
2025-11-21 19:56:07,1,0.95,54.01
2025-11-21 19:58:07,1,0.82,55.62
2025-11-21 20:00:07,1,0.68,56.19
2025-11-21 20:02:07,0,0.65,56.43
2025-11-21 20:04:07,0,0.51,55.95
2025-11-21 20:06:07,0,0.41,54.97
2025-11-21 20:08:07,0,0.40,53.78
2025-11-21 20:10:07,0,0.36,52.00
2025-11-21 20:12:07,0,0.30,50.00
2025-11-21 20:14:07,0,0.28,48.14
2025-11-21 20:16:07,0,0.21,46.42
2025-11-21 20:18:07,0,0.15,44.80
2025-11-21 20:20:07,0,0.13,43.31
2025-11-21 20:22:07,0,0.13,42.03
2025-11-21 20:24:07,0,0.17,40.91
2025-11-21 20:26:07,0,0.13,39.86
