sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,362
Sensor ID:,29546
Sensor Type:,EXACTv2 
Start time:,2025-11-21 13:44:30
Stop time:,2025-11-29 18:12:30
Total number of logs:,11788
Maximum temperature:,29.92
Errors:,0
Stove Name:,supamoto
Cooking Events per day:,0.0
Cooking Time (min/day):,0.0
Number of days of cooking:,0

Timestamp,Usage EXACT 29546,Gradient EXACT 29546,Temperature EXACT 29546
2025-11-21 13:46:30,0,-0.04,29.33
2025-11-21 13:48:30,0,-0.03,29.71
2025-11-21 13:50:30,0,0.01,29.92
2025-11-21 13:52:30,0,0.06,29.54
2025-11-21 13:54:30,0,-0.01,29.04
2025-11-21 13:56:30,0,0.02,28.69
2025-11-21 13:58:30,0,0.02,28.33
2025-11-21 14:00:30,0,0.05,28.06
2025-11-21 14:02:30,0,0.01,27.73
2025-11-21 14:04:30,0,0.06,27.48
2025-11-21 14:06:30,0,0.05,27.27
2025-11-21 14:08:30,0,0.02,27.01
2025-11-21 14:10:30,0,0.06,26.75
2025-11-21 14:12:30,0,0.01,26.48
2025-11-21 14:14:30,0,0.06,26.34
2025-11-21 14:16:30,0,0.05,26.13
2025-11-21 14:18:30,0,0.01,25.97
2025-11-21 14:20:30,0,0.01,25.82
2025-11-21 14:22:30,0,0.06,25.77
2025-11-21 14:24:30,0,0.00,25.66
2025-11-21 14:26:30,0,0.02,25.62
2025-11-21 14:28:30,0,-0.00,25.56
2025-11-21 14:30:30,0,0.06,25.56
2025-11-21 14:32:30,0,-0.03,25.46
2025-11-21 14:34:30,0,0.05,25.46
2025-11-21 14:36:30,0,0.06,25.46
2025-11-21 14:38:30,0,-0.01,25.37
2025-11-21 14:40:30,0,-0.03,25.36
2025-11-21 14:42:30,0,-0.02,25.36
2025-11-21 14:44:30,0,0.06,25.36
2025-11-21 14:46:30,0,0.06,25.36
2025-11-21 14:48:30,0,0.06,25.36
2025-11-21 14:50:30,0,0.06,25.36
2025-11-21 14:52:30,0,0.06,25.36
2025-11-21 14:54:30,0,0.06,25.36
2025-11-21 14:56:30,0,0.06,25.36
2025-11-21 14:58:30,0,0.06,25.36
2025-11-21 15:00:30,0,0.06,25.36
2025-11-21 15:02:30,0,0.06,25.36
2025-11-21 15:04:30,0,0.06,25.36
2025-11-21 15:06:30,0,0.06,25.36
2025-11-21 15:08:30,0,0.06,25.36
2025-11-21 15:10:30,0,0.06,25.36
2025-11-21 15:12:30,0,0.06,25.36
2025-11-21 15:14:30,0,0.06,25.36
2025-11-21 15:16:30,0,0.07,25.36
2025-11-21 15:18:30,0,0.07,25.36
2025-11-21 15:20:30,0,0.07,25.36
2025-11-21 15:22:30,0,0.07,25.36
2025-11-21 15:24:30,0,0.07,25.36
2025-11-21 15:26:30,0,0.07,25.36
2025-11-21 15:28:30,0,0.07,25.36
2025-11-21 15:30:30,0,0.07,25.36
2025-11-21 15:32:30,0,0.07,25.36
2025-11-21 15:34:30,0,0.07,25.36
2025-11-21 15:36:30,0,0.07,25.36
2025-11-21 15:38:30,0,0.07,25.36
2025-11-21 15:40:30,0,0.07,25.36
2025-11-21 15:42:30,0,0.07,25.36
2025-11-21 15:44:30,0,0.07,25.36
2025-11-21 15:46:30,0,0.07,25.36
2025-11-21 15:48:30,0,0.07,25.36
