sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,536
Sensor ID:,29555
Sensor Type:,EXACTv2 
Start time:,2025-11-18 13:17:21
Stop time:,2025-11-23 09:41:21
Total number of logs:,6984
Maximum temperature:,90.97
Errors:,16
Stove Name:,Electric
Cooking Events per day:,1.24
Cooking Time (min/day):,42.07
Number of days of cooking:,4

Timestamp,Usage EXACT 29555,Gradient EXACT 29555,Temperature EXACT 29555
2025-11-18 13:19:21,0,0.02,31.49
2025-11-18 13:21:21,0,0.01,31.53
2025-11-18 13:23:21,0,0.02,31.60
2025-11-18 13:25:21,0,0.01,31.54
2025-11-18 13:27:21,0,0.00,31.47
2025-11-18 13:29:21,0,0.02,31.38
2025-11-18 13:31:21,0,-0.03,31.27
2025-11-18 13:33:21,0,0.02,31.27
2025-11-18 13:35:21,0,-0.03,31.21
2025-11-18 13:37:21,0,-0.07,31.16
2025-11-18 13:39:21,0,0.01,31.16
2025-11-18 13:41:21,0,0.02,31.16
2025-11-18 13:43:21,0,0.02,31.16
2025-11-18 13:45:21,0,0.02,31.16
2025-11-18 13:47:21,0,-0.03,31.20
2025-11-18 13:49:21,0,0.01,31.27
2025-11-18 13:51:21,0,0.02,31.27
2025-11-18 13:53:21,0,0.02,31.38
2025-11-18 13:55:21,0,0.02,31.38
2025-11-18 13:57:21,0,0.02,31.38
2025-11-18 13:59:21,0,-0.03,31.44
2025-11-18 14:01:21,0,0.02,31.49
2025-11-18 14:03:21,0,0.02,31.49
2025-11-18 14:05:21,0,-0.03,31.54
2025-11-18 14:07:21,0,0.02,31.60
2025-11-18 14:09:21,0,0.02,31.60
2025-11-18 14:11:21,0,0.02,31.60
2025-11-18 14:13:21,0,0.02,31.60
2025-11-18 14:15:21,0,-0.03,31.49
2025-11-18 14:17:21,0,0.02,31.49
2025-11-18 14:19:21,0,0.02,31.49
2025-11-18 14:21:21,0,0.02,31.49
2025-11-18 14:23:21,0,0.02,31.49
2025-11-18 14:25:21,0,0.02,31.49
2025-11-18 14:27:21,0,0.02,31.49
2025-11-18 14:29:21,0,0.02,31.49
2025-11-18 14:31:21,0,0.02,31.49
2025-11-18 14:33:21,0,0.02,31.49
2025-11-18 14:35:21,0,-0.03,31.49
2025-11-18 14:37:21,0,-0.07,31.50
2025-11-18 14:39:21,0,0.00,31.59
2025-11-18 14:41:21,0,0.02,31.60
2025-11-18 14:43:21,0,0.02,31.60
