sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,10346
Sensor ID:,29416
Sensor Type:,EXACTv2 
Start time:,2025-11-18 15:17:44
Stop time:,2025-11-28 21:08:44
Total number of logs:,14750
Maximum temperature:,88.84
Errors:,1
Stove Name:,Char Bas
Cooking Events per day:,1.46
Cooking Time (min/day):,79.66
Number of days of cooking:,7

Timestamp,Usage EXACT 29416,Gradient EXACT 29416,Temperature EXACT 29416
2025-11-18 15:19:44,1,0.58,58.53
2025-11-18 15:21:44,1,0.55,59.54
2025-11-18 15:23:44,1,0.53,59.98
2025-11-18 15:25:44,1,0.56,60.89
2025-11-18 15:27:44,1,0.49,61.09
2025-11-18 15:29:44,1,0.39,60.89
2025-11-18 15:31:44,1,0.38,60.53
2025-11-18 15:33:44,1,0.46,60.44
2025-11-18 15:35:44,1,0.52,60.95
2025-11-18 15:37:44,1,0.57,61.63
2025-11-18 15:39:44,1,0.70,62.19
2025-11-18 15:41:44,1,0.64,62.78
2025-11-18 15:43:44,1,0.59,63.63
2025-11-18 15:45:44,1,0.54,64.12
2025-11-18 15:47:44,1,0.57,64.52
2025-11-18 15:49:44,0,0.48,64.72
2025-11-18 15:51:44,0,0.58,64.82
2025-11-18 15:53:44,0,0.57,64.52
2025-11-18 15:55:44,0,0.57,64.32
2025-11-18 15:57:44,0,0.49,63.73
2025-11-18 15:59:44,0,0.48,63.34
2025-11-18 16:01:44,0,0.48,63.14
2025-11-18 16:03:44,0,0.56,62.76
2025-11-18 16:05:44,0,0.48,62.27
2025-11-18 16:07:44,0,0.45,61.63
2025-11-18 16:09:44,0,0.44,61.07
2025-11-18 16:11:44,0,0.39,60.62
2025-11-18 16:13:44,0,0.38,59.91
2025-11-18 16:15:44,0,0.37,59.27
2025-11-18 16:17:44,0,0.37,58.92
2025-11-18 16:19:44,0,0.35,58.41
2025-11-18 16:21:44,0,0.38,57.98
2025-11-18 16:23:44,0,0.36,57.53
2025-11-18 16:25:44,0,0.35,57.20
2025-11-18 16:27:44,0,0.36,56.86
2025-11-18 16:29:44,0,0.36,56.36
2025-11-18 16:31:44,0,0.34,55.94
2025-11-18 16:33:44,0,0.29,55.46
2025-11-18 16:35:44,0,0.35,55.05
2025-11-18 16:37:44,0,0.35,54.73
2025-11-18 16:39:44,0,0.35,54.25
2025-11-18 16:41:44,0,0.31,53.86
2025-11-18 16:43:44,0,0.35,53.62
2025-11-18 16:45:44,0,0.35,53.31
2025-11-18 16:47:44,0,0.35,53.00
2025-11-18 16:49:44,0,0.35,52.69
2025-11-18 16:51:44,0,0.35,52.54
2025-11-18 16:53:44,0,0.35,52.23
2025-11-18 16:55:44,0,0.28,51.85
2025-11-18 16:57:44,0,0.27,51.47
2025-11-18 16:59:44,0,0.29,51.13
2025-11-18 17:01:44,0,0.33,50.88
2025-11-18 17:03:44,0,0.34,50.66
2025-11-18 17:05:44,0,0.21,50.29
2025-11-18 17:07:44,0,0.26,50.22
2025-11-18 17:09:44,0,0.27,50.08
2025-11-18 17:11:44,0,0.27,49.85
2025-11-18 17:13:44,0,0.23,49.42
2025-11-18 17:15:44,0,0.20,49.06
2025-11-18 17:17:44,0,0.20,48.64
2025-11-18 17:19:44,0,0.21,48.28
2025-11-18 17:21:44,0,0.26,47.93
2025-11-18 17:23:44,0,0.27,47.58
2025-11-18 17:25:44,0,0.25,47.36
2025-11-18 17:27:44,0,0.26,47.10
2025-11-18 17:29:44,0,0.21,46.69
2025-11-18 17:31:44,0,0.20,46.41
2025-11-18 17:33:44,0,0.20,45.81
2025-11-18 17:35:44,0,0.16,44.82
2025-11-18 17:37:44,0,0.14,43.95
2025-11-18 17:39:44,0,0.14,42.92
2025-11-18 17:41:44,0,0.09,41.97
2025-11-18 17:43:44,0,0.08,41.28
