sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,333
Sensor ID:,29278
Sensor Type:,EXACTv2 
Start time:,2025-11-29 10:06:52
Stop time:,2025-12-04 14:30:52
Total number of logs:,7464
Maximum temperature:,103.0
Errors:,0
Stove Name:,Electric
Cooking Events per day:,0.19
Cooking Time (min/day):,13.9
Number of days of cooking:,1

Timestamp,Usage EXACT 29278,Gradient EXACT 29278,Temperature EXACT 29278
2025-11-29 10:12:52,0,0.03,30.04
2025-11-29 10:18:52,0,-0.02,29.98
2025-11-29 10:24:52,0,-0.02,29.98
2025-11-29 10:30:52,0,-0.02,29.98
2025-11-29 10:36:52,0,-0.02,29.98
2025-11-29 10:42:52,0,0.03,29.98
2025-11-29 10:48:52,0,0.07,29.98
2025-11-29 10:54:52,0,0.07,29.98
2025-11-29 11:00:52,0,0.07,29.98
2025-11-29 11:06:52,0,0.02,29.91
2025-11-29 11:12:52,0,-0.02,29.87
2025-11-29 11:18:52,0,-0.02,29.87
2025-11-29 11:24:52,0,-0.02,29.87
2025-11-29 11:30:52,0,-0.02,29.87
2025-11-29 11:36:52,0,-0.02,29.87
2025-11-29 11:42:52,0,-0.02,29.87
2025-11-29 11:48:52,0,-0.02,29.88
2025-11-29 11:54:52,0,0.07,29.98
2025-11-29 12:00:52,0,0.05,29.98
2025-11-29 12:06:52,0,-0.02,29.98
2025-11-29 12:12:52,0,-0.02,29.98
2025-11-29 12:18:52,0,-0.02,29.98
2025-11-29 12:24:52,0,-0.02,29.99
2025-11-29 12:30:52,0,0.01,30.02
2025-11-29 12:36:52,0,-0.02,29.98
2025-11-29 12:42:52,0,-0.02,29.99
2025-11-29 12:48:52,0,-0.02,29.99
2025-11-29 12:54:52,0,0.02,29.92
2025-11-29 13:00:52,0,0.02,29.87
2025-11-29 13:06:52,0,0.01,29.87
2025-11-29 13:12:52,0,0.02,29.92
2025-11-29 13:18:52,0,0.07,29.98
2025-11-29 13:24:52,0,0.00,29.98
2025-11-29 13:30:52,0,-0.02,29.98
2025-11-29 13:36:52,0,0.01,30.02
2025-11-29 13:42:52,0,0.01,30.02
2025-11-29 13:48:52,0,0.02,30.03
2025-11-29 13:54:52,0,0.01,30.01
2025-11-29 14:00:52,0,0.03,30.04
2025-11-29 14:06:52,0,0.07,30.08
2025-11-29 14:12:52,0,0.07,30.08
2025-11-29 14:18:52,0,0.06,30.08
2025-11-29 14:24:52,0,0.02,30.08
2025-11-29 14:30:52,0,0.02,30.12
2025-11-29 14:36:52,0,0.07,30.19
2025-11-29 14:42:52,0,0.07,30.19
2025-11-29 14:48:52,0,-0.01,30.19
2025-11-29 14:54:52,0,-0.01,30.21
2025-11-29 15:00:52,0,0.05,30.28
2025-11-29 15:06:52,0,0.07,30.30
2025-11-29 15:12:52,0,0.07,30.30
2025-11-29 15:18:52,0,0.02,30.30
2025-11-29 15:24:52,0,0.02,30.35
2025-11-29 15:30:52,0,0.07,30.41
2025-11-29 15:36:52,0,-0.02,30.41
2025-11-29 15:42:52,0,0.02,30.46
2025-11-29 15:48:52,0,0.07,30.51
2025-11-29 15:54:52,0,0.07,30.51
2025-11-29 16:00:52,0,-0.02,30.51
2025-11-29 16:06:52,0,0.07,30.62
2025-11-29 16:12:52,0,0.03,30.62
2025-11-29 16:18:52,0,-0.02,30.62
2025-11-29 16:24:52,0,0.06,30.72
2025-11-29 16:30:52,0,0.07,30.73
2025-11-29 16:36:52,0,0.05,30.73
2025-11-29 16:42:52,0,-0.02,30.73
2025-11-29 16:48:52,0,0.02,30.78
2025-11-29 16:54:52,0,0.07,30.84
2025-11-29 17:00:52,0,0.07,30.84
2025-11-29 17:06:52,0,0.06,30.84
2025-11-29 17:12:52,0,0.03,30.84
2025-11-29 17:18:52,0,0.07,30.84
2025-11-29 17:24:52,0,0.07,30.84
2025-11-29 17:30:52,0,0.00,30.84
2025-11-29 17:36:52,0,-0.02,30.84
2025-11-29 17:42:52,0,0.01,30.88
2025-11-29 17:48:52,0,0.07,30.95
2025-11-29 17:54:52,0,0.03,30.95
2025-11-29 18:00:52,0,0.03,31.00
2025-11-29 18:06:52,0,0.07,31.05
2025-11-29 18:12:52,0,0.00,31.05
2025-11-29 18:18:52,0,-0.01,31.05
2025-11-29 18:24:52,0,0.07,31.05
2025-11-29 18:30:52,0,-0.02,31.05
2025-11-29 18:36:52,0,-0.02,31.05
2025-11-29 18:42:52,0,-0.02,31.05
2025-11-29 18:48:52,0,-0.02,31.05
2025-11-29 18:54:52,0,-0.02,31.05
2025-11-29 19:00:52,0,0.06,31.15
2025-11-29 19:06:52,0,0.07,31.16
2025-11-29 19:12:52,0,0.05,31.16
2025-11-29 19:18:52,0,-0.02,31.16
2025-11-29 19:24:52,0,0.06,31.26
2025-11-29 19:30:52,0,0.07,31.27
2025-11-29 19:36:52,0,0.07,31.27
2025-11-29 19:42:52,0,0.07,31.27
2025-11-29 19:48:52,0,0.07,31.27
2025-11-29 19:54:52,0,0.07,31.27
2025-11-29 20:00:52,0,0.07,31.27
2025-11-29 20:06:52,0,0.07,31.27
2025-11-29 20:12:52,0,0.07,31.27
2025-11-29 20:18:52,0,0.07,31.27
2025-11-29 20:24:52,0,0.07,31.27
2025-11-29 20:30:52,0,-0.02,31.27
2025-11-29 20:36:52,0,-0.02,31.29
2025-11-29 20:42:52,0,0.07,31.38
2025-11-29 20:48:52,0,0.07,31.38
2025-11-29 20:54:52,0,0.07,31.38
2025-11-29 21:00:52,0,0.03,31.38
2025-11-29 21:06:52,0,-0.01,31.38
2025-11-29 21:12:52,0,0.01,31.38
2025-11-29 21:18:52,0,-0.01,31.38
2025-11-29 21:24:52,0,-0.01,31.38
2025-11-29 21:30:52,0,-0.02,31.38
