sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,365
Sensor ID:,29533
Sensor Type:,EXACTv2 
Start time:,2025-11-21 15:22:59
Stop time:,2025-11-29 18:31:59
Total number of logs:,11708
Maximum temperature:,42.22
Errors:,1
Stove Name:,supamoto
Cooking Events per day:,0.86
Cooking Time (min/day):,43.05
Number of days of cooking:,6

Timestamp,Usage EXACT 29533,Gradient EXACT 29533,Temperature EXACT 29533
2025-11-21 15:24:59,0,0.05,33.75
2025-11-21 15:26:59,0,0.05,32.47
2025-11-21 15:28:59,0,0.01,31.27
2025-11-21 15:30:59,0,0.03,30.46
2025-11-21 15:32:59,0,0.09,29.81
2025-11-21 15:34:59,0,0.01,29.22
2025-11-21 15:36:59,0,0.01,28.82
2025-11-21 15:38:59,0,0.00,28.54
2025-11-21 15:40:59,0,0.04,28.32
2025-11-21 15:42:59,0,0.05,28.22
2025-11-21 15:44:59,0,0.05,28.06
2025-11-21 15:46:59,0,0.00,27.90
2025-11-21 15:48:59,0,0.05,27.75
2025-11-21 15:50:59,0,0.05,27.64
2025-11-21 15:52:59,0,0.02,27.77
2025-11-21 15:54:59,0,0.05,27.80
2025-11-21 15:56:59,0,0.00,27.75
2025-11-21 15:58:59,0,0.08,27.74
2025-11-21 16:00:59,0,0.01,27.64
2025-11-21 16:02:59,0,0.05,27.64
2025-11-21 16:04:59,0,0.01,27.54
2025-11-21 16:06:59,0,0.05,27.43
2025-11-21 16:08:59,0,0.05,27.22
2025-11-21 16:10:59,0,0.05,27.17
2025-11-21 16:12:59,0,0.00,27.12
2025-11-21 16:14:59,0,0.00,27.12
2025-11-21 16:16:59,0,0.03,27.20
2025-11-21 16:18:59,0,0.05,27.38
2025-11-21 16:20:59,0,0.05,27.48
2025-11-21 16:22:59,0,0.09,27.54
2025-11-21 16:24:59,0,0.10,27.54
2025-11-21 16:26:59,0,0.05,27.54
2025-11-21 16:28:59,0,0.05,27.59
2025-11-21 16:30:59,0,0.05,27.69
2025-11-21 16:32:59,0,0.05,27.85
2025-11-21 16:34:59,0,0.01,28.01
