sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,386
Sensor ID:,29464
Sensor Type:,EXACTv2 
Start time:,2025-11-10 12:50:23
Stop time:,2025-11-17 12:58:23
Total number of logs:,10088
Maximum temperature:,96.15
Errors:,0
Stove Name:,}
Cooking Events per day:,0.86
Cooking Time (min/day):,103.37
Number of days of cooking:,4

Timestamp,Usage EXACT 29464,Gradient EXACT 29464,Temperature EXACT 29464
2025-11-10 12:52:23,0,0.06,25.87
2025-11-10 12:54:23,0,0.06,25.77
2025-11-10 12:56:23,0,0.05,25.61
2025-11-10 12:58:23,0,0.02,25.56
2025-11-10 13:00:23,0,0.08,25.61
2025-11-10 13:02:23,0,0.02,25.51
2025-11-10 13:04:23,0,0.04,25.18
2025-11-10 13:06:23,0,0.01,24.89
2025-11-10 13:08:23,0,0.01,24.79
2025-11-10 13:10:23,0,0.10,24.74
2025-11-10 13:12:23,0,0.02,24.74
2025-11-10 13:14:23,0,0.01,24.74
2025-11-10 13:16:23,0,0.10,24.69
2025-11-10 13:18:23,0,0.10,24.63
2025-11-10 13:20:23,0,0.06,24.64
2025-11-10 13:22:23,0,0.10,24.73
2025-11-10 13:24:23,0,0.07,24.74
2025-11-10 13:26:23,0,0.03,24.74
2025-11-10 13:28:23,0,0.10,24.74
2025-11-10 13:30:23,0,0.07,24.74
2025-11-10 13:32:23,0,0.02,24.74
2025-11-10 13:34:23,0,0.10,24.84
2025-11-10 13:36:23,0,0.02,24.74
2025-11-10 13:38:23,0,0.06,24.84
2025-11-10 13:40:23,0,0.03,24.84
2025-11-10 13:42:23,0,0.06,24.84
2025-11-10 13:44:23,0,0.03,24.86
2025-11-10 13:46:23,0,0.01,24.94
2025-11-10 13:48:23,0,0.01,24.94
2025-11-10 13:50:23,0,0.01,24.94
2025-11-10 13:52:23,0,0.06,25.05
2025-11-10 13:54:23,0,0.04,24.98
2025-11-10 13:56:23,0,0.02,24.89
2025-11-10 13:58:23,0,0.01,24.84
2025-11-10 14:00:23,0,0.09,24.83
2025-11-10 14:02:23,0,0.03,24.75
2025-11-10 14:04:23,0,0.01,24.74
2025-11-10 14:06:23,0,0.01,24.74
2025-11-10 14:08:23,0,0.06,24.83
2025-11-10 14:10:23,0,0.06,24.89
2025-11-10 14:12:23,0,0.06,25.04
2025-11-10 14:14:23,0,0.10,25.35
2025-11-10 14:16:23,0,0.11,25.97
2025-11-10 14:18:23,1,0.15,27.12
2025-11-10 14:20:23,1,0.25,28.69
2025-11-10 14:22:23,1,0.35,30.84
2025-11-10 14:24:23,1,0.48,33.98
2025-11-10 14:26:23,1,0.65,37.60
2025-11-10 14:28:23,1,0.87,42.54
2025-11-10 14:30:23,1,0.95,47.59
2025-11-10 14:32:23,1,1.02,51.87
2025-11-10 14:34:23,1,1.10,56.29
2025-11-10 14:36:23,1,1.18,60.54
2025-11-10 14:38:23,1,1.05,63.69
2025-11-10 14:40:23,1,0.84,65.13
2025-11-10 14:42:23,1,0.93,66.05
2025-11-10 14:44:23,1,0.74,65.92
2025-11-10 14:46:23,1,0.61,64.42
2025-11-10 14:48:23,1,0.50,62.78
2025-11-10 14:50:23,1,0.44,61.48
2025-11-10 14:52:23,1,0.55,60.17
2025-11-10 14:54:23,1,0.56,59.36
2025-11-10 14:56:23,1,0.47,58.22
2025-11-10 14:58:23,1,0.54,57.29
2025-11-10 15:00:23,1,0.54,56.95
2025-11-10 15:02:23,1,0.46,56.61
2025-11-10 15:04:23,1,0.48,58.41
2025-11-10 15:06:23,1,0.51,58.18
2025-11-10 15:08:23,1,0.46,56.86
2025-11-10 15:10:23,1,0.48,56.19
2025-11-10 15:12:23,1,0.45,55.62
2025-11-10 15:14:23,1,0.45,55.13
2025-11-10 15:16:23,1,0.68,57.37
2025-11-10 15:18:23,1,0.64,59.62
2025-11-10 15:20:23,1,0.66,60.89
2025-11-10 15:22:23,1,0.65,61.72
2025-11-10 15:24:23,1,0.66,62.86
2025-11-10 15:26:23,1,0.60,62.95
2025-11-10 15:28:23,1,0.67,62.76
2025-11-10 15:30:23,1,0.65,63.24
2025-11-10 15:32:23,1,0.68,63.24
2025-11-10 15:34:23,1,0.60,62.86
2025-11-10 15:36:23,1,0.66,63.92
2025-11-10 15:38:23,1,0.79,65.12
2025-11-10 15:40:23,1,0.82,66.55
2025-11-10 15:42:23,1,0.61,67.04
2025-11-10 15:44:23,1,0.64,67.08
2025-11-10 15:46:23,1,0.60,66.02
2025-11-10 15:48:23,1,0.48,65.54
2025-11-10 15:50:23,1,0.51,65.32
2025-11-10 15:52:23,1,0.57,64.22
2025-11-10 15:54:23,1,0.57,63.73
2025-11-10 15:56:23,1,0.60,64.32
2025-11-10 15:58:23,1,0.60,64.82
2025-11-10 16:00:23,1,0.51,64.82
2025-11-10 16:02:23,1,0.42,63.94
2025-11-10 16:04:23,1,0.44,62.81
2025-11-10 16:06:23,1,0.48,62.76
2025-11-10 16:08:23,1,0.51,63.34
2025-11-10 16:10:23,1,0.48,63.34
2025-11-10 16:12:23,1,0.48,64.12
2025-11-10 16:14:23,1,0.41,64.02
2025-11-10 16:16:23,1,0.48,63.73
2025-11-10 16:18:23,1,0.46,63.15
2025-11-10 16:20:23,1,0.51,62.76
2025-11-10 16:22:23,1,0.48,62.38
2025-11-10 16:24:23,1,0.53,62.35
2025-11-10 16:26:23,1,0.46,62.25
2025-11-10 16:28:23,1,0.50,62.49
2025-11-10 16:30:23,1,0.50,62.49
2025-11-10 16:32:23,1,0.47,62.10
2025-11-10 16:34:23,1,0.41,61.46
2025-11-10 16:36:23,1,0.55,60.62
2025-11-10 16:38:23,1,0.49,60.44
2025-11-10 16:40:23,1,0.56,61.26
2025-11-10 16:42:23,1,0.58,62.76
2025-11-10 16:44:23,1,0.66,63.93
2025-11-10 16:46:23,1,0.71,66.35
2025-11-10 16:48:23,1,0.71,68.61
2025-11-10 16:50:23,1,0.66,69.80
2025-11-10 16:52:23,1,0.78,70.39
2025-11-10 16:54:23,1,0.67,70.71
2025-11-10 16:56:23,1,0.64,70.48
2025-11-10 16:58:23,1,0.55,70.26
2025-11-10 17:00:23,1,0.64,69.92
2025-11-10 17:02:23,1,0.51,69.43
2025-11-10 17:04:23,1,0.47,68.95
2025-11-10 17:06:23,1,0.42,67.29
2025-11-10 17:08:23,1,0.58,65.12
2025-11-10 17:10:23,1,0.42,63.24
2025-11-10 17:12:23,1,0.40,61.46
2025-11-10 17:14:23,1,0.38,59.80
2025-11-10 17:16:23,1,0.31,58.07
2025-11-10 17:18:23,1,0.48,56.90
2025-11-10 17:20:23,1,0.47,57.04
2025-11-10 17:22:23,1,0.53,57.12
2025-11-10 17:24:23,1,0.46,57.03
2025-11-10 17:26:23,1,0.53,57.12
2025-11-10 17:28:23,1,0.54,56.78
2025-11-10 17:30:23,1,0.54,57.62
2025-11-10 17:32:23,1,0.55,58.92
2025-11-10 17:34:23,1,0.64,59.71
2025-11-10 17:36:23,1,0.66,60.98
2025-11-10 17:38:23,1,0.73,61.91
2025-11-10 17:40:23,1,0.67,61.35
2025-11-10 17:42:23,1,0.66,60.72
2025-11-10 17:44:23,1,0.65,60.16
2025-11-10 17:46:23,1,0.70,59.17
2025-11-10 17:48:23,1,0.71,58.92
2025-11-10 17:50:23,1,0.71,58.83
2025-11-10 17:52:23,1,0.73,59.45
2025-11-10 17:54:23,1,0.67,59.36
2025-11-10 17:56:23,1,0.62,59.55
2025-11-10 17:58:23,1,0.66,59.11
2025-11-10 18:00:23,1,0.64,58.76
2025-11-10 18:02:23,1,0.65,58.84
2025-11-10 18:04:23,1,0.62,58.38
2025-11-10 18:06:23,1,0.49,56.64
