sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,510
Sensor ID:,29472
Sensor Type:,EXACTv2 
Start time:,2025-11-20 12:01:39
Stop time:,2025-11-27 10:00:39
Total number of logs:,9958
Maximum temperature:,175.66
Errors:,4850
Stove Name:,mimimoto
Cooking Events per day:,0.0
Cooking Time (min/day):,1439.42
Number of days of cooking:,6

Timestamp,Usage EXACT 29472,Gradient EXACT 29472,Temperature EXACT 29472
2025-11-20 12:03:39,1,5.55,0.84
2025-11-20 12:05:39,1,248.82,-164.88
2025-11-20 12:07:39,1,29.79,0.84
2025-11-20 12:09:39,1,251.24,-164.88
2025-11-20 12:11:39,1,29.94,0.84
2025-11-20 12:13:39,1,251.26,-164.88
2025-11-20 12:15:39,1,29.85,0.84
2025-11-20 12:17:39,1,251.25,-164.88
2025-11-20 12:19:39,1,29.75,0.84
2025-11-20 12:21:39,1,271.20,-162.53
2025-11-20 12:23:39,1,31.66,0.84
2025-11-20 12:25:39,1,-1.42,-161.54
2025-11-20 12:27:39,1,4.30,0.84
2025-11-20 12:29:39,1,268.66,-162.53
2025-11-20 12:31:39,1,31.22,0.84
2025-11-20 12:33:39,1,216.38,-166.44
2025-11-20 12:35:39,1,25.91,0.84
2025-11-20 12:37:39,1,241.75,166.42
2025-11-20 12:39:39,1,28.44,0.84
2025-11-20 12:41:39,1,242.00,166.42
2025-11-20 12:43:39,1,28.38,0.84
2025-11-20 12:45:39,1,241.99,166.42
2025-11-20 12:47:39,1,28.28,0.84
2025-11-20 12:49:39,1,185.09,166.03
2025-11-20 12:51:39,1,22.59,0.84
2025-11-20 12:53:39,1,165.46,165.62
2025-11-20 12:55:39,1,20.53,0.84
2025-11-20 12:57:39,1,141.83,165.26
2025-11-20 12:59:39,1,18.08,0.84
2025-11-20 13:01:39,1,153.76,165.13
2025-11-20 13:03:39,1,19.27,0.84
2025-11-20 13:05:39,1,39.27,165.02
2025-11-20 13:07:39,1,7.73,0.84
2025-11-20 13:09:39,1,-3.31,164.85
2025-11-20 13:11:39,1,3.48,0.84
2025-11-20 13:13:39,1,243.92,164.73
2025-11-20 13:15:39,1,28.11,0.84
2025-11-20 13:17:39,1,30.78,164.52
2025-11-20 13:19:39,1,6.71,0.84
2025-11-20 13:21:39,1,28.64,164.52
2025-11-20 13:23:39,1,6.49,0.84
2025-11-20 13:25:39,1,68.91,164.11
2025-11-20 13:27:39,1,10.43,0.84
2025-11-20 13:29:39,1,190.04,164.07
2025-11-20 13:31:39,1,22.53,0.84
2025-11-20 13:33:39,1,100.79,163.11
2025-11-20 13:35:39,1,13.61,0.84
2025-11-20 13:37:39,1,200.99,162.69
2025-11-20 13:39:39,1,23.54,0.84
2025-11-20 13:41:39,1,231.36,162.32
2025-11-20 13:43:39,1,26.57,0.84
2025-11-20 13:45:39,1,231.66,162.32
2025-11-20 13:47:39,1,26.60,0.84
2025-11-20 13:49:39,1,231.67,162.32
2025-11-20 13:51:39,1,26.52,0.84
2025-11-20 13:53:39,1,35.08,163.18
2025-11-20 13:55:39,1,6.86,0.84
2025-11-20 13:57:39,1,33.11,163.18
2025-11-20 13:59:39,1,6.66,0.84
2025-11-20 14:01:39,1,33.09,163.18
2025-11-20 14:03:39,1,6.66,0.84
2025-11-20 14:05:39,1,256.46,-166.84
2025-11-20 14:07:39,1,28.92,0.84
2025-11-20 14:09:39,1,-2.72,-164.08
2025-11-20 14:11:39,1,2.99,0.84
2025-11-20 14:13:39,1,27.14,-163.75
2025-11-20 14:15:39,1,5.97,0.84
2025-11-20 14:17:39,1,85.84,-163.74
2025-11-20 14:19:39,1,11.84,0.84
2025-11-20 14:21:39,1,86.42,-163.74
2025-11-20 14:23:39,1,11.84,0.84
2025-11-20 14:25:39,1,86.42,-163.74
2025-11-20 14:27:39,1,11.81,0.84
2025-11-20 14:29:39,1,28.02,-163.75
2025-11-20 14:31:39,1,5.97,0.84
2025-11-20 14:33:39,1,88.74,-163.77
2025-11-20 14:35:39,1,12.04,0.84
2025-11-20 14:37:39,1,40.44,-163.95
2025-11-20 14:39:39,1,7.21,0.84
2025-11-20 14:41:39,1,18.42,-164.32
2025-11-20 14:43:39,1,4.95,0.84
2025-11-20 14:45:39,1,91.16,-164.47
2025-11-20 14:47:39,1,12.19,0.84
2025-11-20 14:49:39,1,91.89,-164.47
2025-11-20 14:51:39,1,12.27,0.84
2025-11-20 14:53:39,1,91.89,-164.47
2025-11-20 14:55:39,1,12.27,0.84
2025-11-20 14:57:39,1,253.54,-165.60
