Timestamp,Usage EXACT 29294,Gradient EXACT 29294,Temperature EXACT 29294,Weight (kg),w_smooth,consumption (kg),Weight (kg),w_smooth,consumption (kg),Usage EXACT 29286,Gradient EXACT 29286,Temperature EXACT 29286,Usage EXACT 29294,Gradient EXACT 29294,Temperature EXACT 29294
2025-11-18 14:46:43,1,0.28,48.63,0.00138,,0.0,0.00138,,0.0,0,0.06,41.97,1,0.28,48.63
2025-11-18 14:48:43,1,0.41,49.86,4.25111,4.25111,0.0,4.25111,4.25111,0.0,0,0.06,41.53,1,0.41,49.86
2025-11-18 14:50:43,1,0.32,50.60,4.251162,4.25111,0.0,4.251162,4.25111,0.0,0,0.17,40.97,1,0.32,50.60
2025-11-18 14:52:43,1,0.37,51.70,4.251075,4.251075,0.0,4.251075,4.251075,0.0,0,0.07,40.54,1,0.37,51.70
2025-11-18 14:54:43,1,0.38,52.77,4.24889,4.24889,0.0,4.24889,4.24889,0.0,0,0.06,40.17,1,0.38,52.77
2025-11-18 14:56:43,1,0.33,53.31,4.248576,4.248576,0.0,4.248576,4.248576,0.0,0,0.06,39.93,1,0.33,53.31
2025-11-18 14:58:43,1,0.35,53.70,4.248308,4.248308,0.0,4.248308,4.248308,0.0,0,0.16,39.62,1,0.35,53.70
2025-11-18 15:00:43,1,0.33,53.94,4.246744,4.246744,0.0,4.246744,4.246744,0.0,0,0.12,39.08,1,0.33,53.94
2025-11-18 15:02:43,1,0.27,54.01,4.246457,4.246457,0.0,4.246457,4.246457,0.0,0,0.07,38.84,1,0.27,54.01
2025-11-18 15:04:43,1,0.31,54.62,4.247448,4.247448,0.0,4.247448,4.247448,0.0,0,0.11,39.14,1,0.31,54.62
2025-11-18 15:06:43,0,0.25,54.73,4.247448,4.247448,0.0,4.247448,4.247448,0.0,0,0.16,39.31,0,0.25,54.73
2025-11-18 15:08:43,0,0.31,54.25,4.245862,4.245862,0.0,4.245862,4.245862,0.0,0,0.12,38.72,0,0.31,54.25
2025-11-18 15:10:43,0,0.20,54.41,4.245656,4.245656,0.0,4.245656,4.245656,0.0,0,0.11,38.84,0,0.20,54.41
2025-11-18 15:12:43,0,0.24,53.93,4.245323,4.245323,0.0,4.245323,4.245323,0.0,0,0.11,38.78,0,0.24,53.93
2025-11-18 15:14:43,0,0.26,53.62,4.245252,4.245252,0.0,4.245252,4.245252,0.0,0,0.16,38.78,0,0.26,53.62
2025-11-18 15:16:43,0,0.24,53.62,4.244585,4.244585,0.0,4.244585,4.244585,0.0,0,0.07,38.90,0,0.24,53.62
2025-11-18 15:18:43,0,0.22,53.84,4.244111,4.244111,0.0,4.244111,4.244111,0.0,0,0.14,38.90,0,0.22,53.84
2025-11-18 15:20:43,0,0.21,53.39,4.244111,4.244111,0.0,4.244111,4.244111,0.0,0,0.07,38.78,0,0.21,53.39
2025-11-18 15:22:43,0,0.22,53.39,4.244111,4.244111,0.0,4.244111,4.244111,0.0,0,0.06,38.78,0,0.22,53.39
