Timestamp,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29434,Gradient EXACT 29434,Temperature EXACT 29434,Usage EXACT 29425,Gradient EXACT 29425,Temperature EXACT 29425
2025-11-20 17:03:13,-0.000664,,0.0,0,0.23,37.67,0,0.05,26.86
2025-11-20 17:05:13,-0.000655,-0.000655,0.0,0,0.23,37.47,0,0.10,26.91
2025-11-20 17:07:13,-0.00023,-0.000655,0.0,0,0.23,37.55,0,0.09,26.90
2025-11-20 17:09:13,-0.000705,-0.000705,0.0,0,0.24,37.59,0,0.01,26.81
2025-11-20 17:11:13,-0.001385,-0.001385,0.0,0,0.23,37.59,0,0.00,26.81
2025-11-20 17:13:13,-0.001652,-0.001481,0.0,0,0.23,37.53,0,0.00,26.81
2025-11-20 17:15:13,-0.001242,-0.001264,0.0,0,0.23,37.47,0,0.09,26.81
2025-11-20 17:17:13,-0.001264,-0.001264,0.0,0,0.21,37.30,0,0.05,26.75
2025-11-20 17:19:13,-0.001658,-0.001658,0.0,0,0.23,37.12,0,0.01,26.70
2025-11-20 17:21:13,-0.002139,-0.002139,0.0,0,0.21,37.01,0,0.00,26.70
2025-11-20 17:23:13,-0.002099,-0.002139,0.0,0,0.23,36.89,0,0.09,26.70
2025-11-20 17:25:13,-0.002198,-0.002198,0.0,0,0.23,36.71,0,0.06,26.66
2025-11-20 17:27:13,-0.002912,-0.002912,0.0,0,0.19,36.44,0,0.01,26.60
2025-11-20 17:29:13,-0.002912,-0.002912,0.0,0,0.15,36.11,0,0.00,26.60
2025-11-20 17:31:13,-0.002968,-0.002968,0.0,0,0.17,35.97,0,0.06,26.60
2025-11-20 17:33:13,-0.002971,-0.002968,0.0,0,0.17,36.13,0,0.10,26.60
2025-11-20 17:35:13,-0.002822,-0.002822,0.0,0,0.17,36.31,0,0.10,26.60
2025-11-20 17:37:13,-0.002782,-0.002822,0.0,0,0.22,36.48,0,0.03,26.52
2025-11-20 17:39:13,-0.002782,-0.002782,0.0,0,0.23,36.66,0,0.00,26.49
2025-11-20 17:41:13,-0.002279,-0.002279,0.0,0,0.14,36.67,0,0.00,26.49
2025-11-20 17:43:13,-0.002279,-0.002279,0.0,0,0.11,36.66,0,0.00,26.49
2025-11-20 17:45:13,-0.002602,-0.002602,0.0,0,0.11,36.66,0,0.00,26.49
2025-11-20 17:47:13,-0.002844,-0.002844,0.0,0,0.16,36.60,0,0.02,26.49
2025-11-20 17:49:13,-0.002844,-0.002844,0.0,0,0.13,36.10,0,0.00,26.49
2025-11-20 17:51:13,-0.002946,-0.002946,0.0,0,0.14,35.33,0,0.00,26.49
2025-11-20 17:53:13,-0.003083,-0.003083,0.0,0,0.16,34.48,0,0.03,26.49
2025-11-20 17:55:13,-0.003654,-0.003654,0.0,0,0.11,33.80,0,0.09,26.49
2025-11-20 17:57:13,-0.003713,-0.003654,0.0,0,0.16,33.41,0,0.10,26.49
2025-11-20 17:59:13,-0.003266,-0.003266,0.0,0,0.21,33.08,0,0.09,26.48
2025-11-20 18:01:13,-0.003266,-0.003266,0.0,0,0.13,32.77,0,0.06,26.45
2025-11-20 18:03:13,-0.004167,-0.004167,0.0,0,0.14,32.56,0,0.06,26.45
2025-11-20 18:05:13,-0.004337,-0.004337,0.0,0,0.16,32.32,0,0.01,26.39
2025-11-20 18:07:13,-0.004452,-0.004452,0.0,0,0.11,32.03,0,0.00,26.39
2025-11-20 18:09:13,-0.004306,-0.004306,0.0,0,0.20,31.93,0,0.00,26.39
2025-11-20 18:11:13,-0.004306,-0.004306,0.0,0,0.15,31.98,0,0.05,26.39
2025-11-20 18:13:13,-0.004303,-0.004303,0.0,0,0.11,31.88,0,0.09,26.38
2025-11-20 18:15:13,-0.001832,-0.002282,0.0,0,0.14,31.74,0,0.01,26.29
2025-11-20 18:17:13,-0.002282,-0.002282,0.0,0,0.10,31.54,0,0.00,26.29
2025-11-20 18:19:13,-0.00272,-0.00272,0.0,0,0.10,31.32,0,0.05,26.29
2025-11-20 18:21:13,-0.002847,-0.002745,0.0,0,0.16,31.20,0,0.09,26.29
2025-11-20 18:23:13,-0.002745,-0.002745,0.0,0,0.11,30.95,0,0.05,26.24
2025-11-20 18:25:13,-0.002745,-0.002745,0.0,0,0.12,31.00,0,0.01,26.18
2025-11-20 18:27:13,-0.159438,-0.159438,0.155895,1,0.20,31.65,0,0.00,26.18
2025-11-20 18:29:13,-0.30816,-0.30816,0.0,1,0.21,32.30,0,0.03,26.18
2025-11-20 18:31:13,-0.308878,-0.308694,0.0,1,0.22,32.97,0,0.09,26.18
2025-11-20 18:33:13,-0.308694,-0.308694,0.0,1,0.22,33.64,0,0.05,26.12
2025-11-20 18:35:13,-0.308347,-0.308347,0.0,1,0.17,34.03,0,0.00,26.08
2025-11-20 18:37:13,-0.308347,-0.308347,0.0,1,0.11,32.37,0,0.00,26.08
2025-11-20 18:39:13,-0.308365,-0.308365,0.0,1,0.10,30.30,0,0.00,26.08
2025-11-20 18:41:13,-0.308465,-0.308365,0.0,1,0.10,28.70,0,0.05,26.08
2025-11-20 18:43:13,-0.308111,-0.308111,0.0,1,0.10,27.59,0,0.02,26.08
2025-11-20 18:45:13,-0.307673,-0.307673,0.0,1,0.12,26.75,0,0.09,26.08
2025-11-20 18:47:13,-0.307673,-0.307673,0.0,1,0.18,26.69,0,0.10,26.08
2025-11-20 18:49:13,-0.308713,-0.30857,0.0,1,0.24,27.80,0,0.10,26.08
2025-11-20 18:51:13,-0.308446,-0.30857,0.0,1,0.28,29.57,0,0.07,26.05
2025-11-20 18:53:13,-0.308614,-0.308573,0.0,1,0.29,31.19,0,0.04,26.02
2025-11-20 18:55:13,-0.308573,-0.308573,0.0,1,0.42,33.53,0,0.07,26.05
2025-11-20 18:57:13,-0.308462,-0.308462,0.0,1,0.50,36.60,0,0.01,25.98
2025-11-20 18:59:13,-0.308108,-0.308108,0.0,1,0.53,38.90,0,0.00,25.98
2025-11-20 19:01:13,-0.308036,-0.308036,0.0,1,0.53,40.17,0,0.05,26.03
2025-11-20 19:03:13,-0.308036,-0.308036,0.0,1,0.49,41.16,0,0.01,25.99
2025-11-20 19:05:13,-0.308142,-0.308142,0.0,1,0.54,41.53,0,0.00,25.98
2025-11-20 19:07:13,-0.308142,-0.308142,0.0,1,0.57,42.51,0,0.00,25.98
2025-11-20 19:09:13,-0.308384,-0.308384,0.0,1,0.58,43.77,0,0.00,25.98
2025-11-20 19:11:13,-0.308496,-0.308496,0.0,1,0.57,44.74,0,0.03,25.98
2025-11-20 19:13:13,-0.308614,-0.308496,0.0,1,0.66,46.14,0,0.07,25.98
2025-11-20 19:15:13,-0.308496,-0.308496,0.0,1,0.60,46.55,0,0.10,25.98
2025-11-20 19:17:13,-0.308753,-0.308753,0.0,1,0.65,47.02,0,0.09,25.97
2025-11-20 19:19:13,-0.309014,-0.308909,0.0,1,0.68,47.58,0,0.05,25.93
