Timestamp,Usage EXACT 29545,Gradient EXACT 29545,Temperature EXACT 29545,Usage EXACT 29546,Gradient EXACT 29546,Temperature EXACT 29546,Usage EXACT 29551,Gradient EXACT 29551,Temperature EXACT 29551,Weight (kg),w_smooth,consumption (kg)
2025-11-10 14:35:15,0,0.00,26.29,0,-0.01,26.29,0,0.05,26.70,0.00015,,0.0
2025-11-10 14:37:15,0,0.00,26.29,0,0.02,26.36,0,0.01,26.70,0.000315,0.000315,0.0
2025-11-10 14:39:15,0,0.00,26.29,0,-0.02,26.39,0,0.00,26.96,0.000503,0.000503,0.0
2025-11-10 14:41:15,0,0.03,26.39,0,0.02,26.45,0,0.02,27.17,1.700465,1.700465,0.0
2025-11-10 14:43:15,0,0.00,26.39,0,0.04,26.49,0,0.00,27.27,1.700653,1.700653,0.0
2025-11-10 14:45:15,0,0.00,26.39,0,-0.04,26.49,0,0.00,27.27,1.70157,1.70157,0.0
2025-11-10 14:47:15,0,-0.04,26.44,0,0.02,26.58,0,0.00,27.27,1.701826,1.701826,0.0
2025-11-10 14:49:15,0,-0.00,26.49,0,0.05,26.60,0,0.00,27.48,1.701826,1.701826,0.0
2025-11-10 14:51:15,0,-0.00,26.49,0,-0.00,26.60,0,0.00,27.75,1.701433,1.702438,0.0
2025-11-10 14:53:15,0,-0.00,26.49,0,-0.04,26.61,0,0.00,27.53,1.703328,1.702438,0.0
2025-11-10 14:55:15,0,0.05,26.55,0,-0.02,26.62,0,0.00,27.17,1.702029,1.702741,0.0
2025-11-10 14:57:15,0,0.03,26.60,0,0.02,26.67,0,0.00,26.86,1.702538,1.702029,0.0
2025-11-10 14:59:15,0,0.00,26.60,0,0.05,26.70,0,0.00,26.54,1.702029,1.702029,0.0
2025-11-10 15:01:15,0,0.00,26.60,0,0.00,26.70,0,0.00,26.34,1.701995,1.702029,0.0
2025-11-10 15:03:15,0,0.00,26.60,0,-0.04,26.70,0,0.00,26.23,1.702085,1.702085,0.0
2025-11-10 15:05:15,0,-0.02,26.68,0,-0.05,26.70,0,0.01,26.08,1.702191,1.702191,0.0
2025-11-10 15:07:15,0,-0.00,26.70,0,-0.05,26.70,0,0.00,25.98,1.702191,1.702191,0.0
2025-11-10 15:09:15,0,-0.00,26.70,0,-0.05,26.70,0,0.00,26.03,1.701383,1.701383,0.0
2025-11-10 15:11:15,0,-0.00,26.70,0,-0.05,26.70,0,0.00,26.28,1.102737,1.102737,0.0
2025-11-10 15:13:15,0,-0.00,26.70,0,-0.05,26.70,0,0.04,27.22,1.102325,1.102693,0.0
2025-11-10 15:15:15,0,-0.00,26.70,0,-0.05,26.70,0,0.03,28.09,1.102693,1.102693,0.0
2025-11-10 15:17:15,0,-0.00,26.70,0,-0.05,26.70,0,0.08,28.90,1.102908,1.102908,0.0
2025-11-10 15:19:15,0,-0.00,26.70,0,-0.05,26.70,0,0.01,29.54,1.102974,1.102974,0.0
2025-11-10 15:21:15,0,-0.00,26.70,0,0.03,26.80,0,0.02,30.19,1.103745,1.103745,0.0
2025-11-10 15:23:15,0,-0.00,26.70,0,0.05,26.81,0,0.00,31.00,1.103979,1.103979,0.0
2025-11-10 15:25:15,0,0.09,26.81,0,-0.01,26.81,0,0.00,31.32,1.104179,1.104179,0.0
2025-11-10 15:27:15,0,0.02,26.81,0,-0.05,26.81,0,0.00,31.71,1.104269,1.104269,0.0
2025-11-10 15:29:15,0,0.00,26.81,0,-0.00,26.86,0,0.05,32.36,1.104672,1.104269,0.0
2025-11-10 15:31:15,0,0.00,26.81,0,0.04,26.91,0,0.09,33.58,1.104241,1.104672,0.0
2025-11-10 15:33:15,0,0.00,26.81,0,0.00,26.91,0,0.13,35.10,1.10471,1.10471,0.0
2025-11-10 15:35:15,0,0.00,26.91,0,0.00,26.96,1,0.20,37.12,1.104912,1.104912,0.0
2025-11-10 15:37:15,0,0.00,26.91,0,0.03,27.01,1,0.40,39.35,1.1052,1.105078,0.0
2025-11-10 15:39:15,0,-0.04,26.81,0,-0.04,27.01,1,0.54,42.00,1.105078,1.105078,0.0
