Timestamp,Usage EXACT 29555,Gradient EXACT 29555,Temperature EXACT 29555,Usage EXACT 29561,Gradient EXACT 29561,Temperature EXACT 29561,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29556,Gradient EXACT 29556,Temperature EXACT 29556
2025-11-10 16:16:05,0,-0.04,26.15,0,0.00,27.48,0.798303,,0.0,1,1.41,103.00
2025-11-10 16:18:05,0,-0.01,25.98,0,0.00,27.59,0.799392,0.799392,0.0,1,1.42,103.26
2025-11-10 16:20:05,0,-0.01,25.82,0,-0.02,27.64,0.799392,0.799392,0.0,1,1.68,104.30
2025-11-10 16:22:05,0,-0.03,25.64,0,-0.00,27.59,0.798246,0.798246,0.0,1,1.98,105.11
2025-11-10 16:24:05,0,-0.01,25.51,0,-0.04,27.34,0.797673,0.797673,0.0,1,1.59,106.49
2025-11-10 16:26:05,0,0.01,25.38,0,-0.04,27.06,0.797511,0.797511,0.0,1,1.23,106.78
2025-11-10 16:28:05,0,-0.01,25.25,0,-0.04,26.93,0.797107,0.797107,0.0,1,1.44,105.39
2025-11-10 16:30:05,0,-0.03,25.16,0,-0.00,26.75,0.79598,0.79598,0.0,1,1.46,104.30
2025-11-10 16:32:05,0,-0.01,25.10,0,-0.04,26.60,0.523687,0.523687,0.0,1,1.44,103.78
2025-11-10 16:34:05,0,-0.01,25.05,0,-0.03,26.46,0.523687,0.523687,0.0,1,1.29,102.52
2025-11-10 16:36:05,0,-0.03,24.97,0,-0.03,26.34,0.523687,0.523687,0.0,1,1.57,101.73
2025-11-10 16:38:05,0,0.01,24.94,0,-0.03,26.23,0.52313,0.52313,0.0,1,1.49,99.74
2025-11-10 16:40:05,0,-0.02,24.88,0,-0.00,26.13,0.522805,0.522805,0.0,1,1.47,98.38
2025-11-10 16:42:05,0,-0.01,24.84,0,-0.01,26.03,0.522515,0.522805,0.0,1,1.23,97.03
2025-11-10 16:44:05,0,0.03,24.84,0,-0.00,25.98,0.5229,0.522515,0.0,1,1.16,95.29
2025-11-10 16:46:05,0,-0.03,24.75,0,-0.00,25.87,0.522477,0.522477,0.0,1,1.26,93.97
2025-11-10 16:48:05,0,-0.05,24.74,0,-0.02,25.82,0.522232,0.522232,0.0,1,1.10,93.02
2025-11-10 16:50:05,0,0.03,24.74,0,-0.00,25.77,0.521395,0.521395,0.0,1,1.04,91.26
2025-11-10 16:52:05,0,0.04,24.74,0,-0.02,25.71,0.521268,0.521268,0.0,1,1.30,91.01
2025-11-10 16:54:05,0,-0.03,24.66,0,-0.00,25.66,0.52066,0.52066,0.0,1,1.17,94.28
2025-11-10 16:56:05,0,-0.06,24.64,0,-0.00,25.66,0.52066,0.52066,0.0,1,1.22,97.94
2025-11-10 16:58:05,0,-0.01,24.64,0,-0.01,25.65,0.520625,0.520625,0.0,1,1.32,100.74
2025-11-10 17:00:05,0,0.04,24.64,0,-0.04,25.58,0.520376,0.520376,0.0,1,1.37,103.27
