sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,10495
Sensor ID:,29462
Sensor Type:,EXACTv2 
Start time:,2025-11-19 13:16:41
Stop time:,2025-11-26 10:08:41
Total number of logs:,9892
Maximum temperature:,146.52
Errors:,0
Stove Name:,Char Pro
Cooking Events per day:,3.49
Cooking Time (min/day):,268.78
Number of days of cooking:,6

Timestamp,Usage EXACT 29462,Gradient EXACT 29462,Temperature EXACT 29462
2025-11-19 13:18:41,1,1.61,93.42
2025-11-19 13:20:41,1,1.86,95.08
2025-11-19 13:22:41,1,1.56,96.15
2025-11-19 13:24:41,1,1.97,97.70
2025-11-19 13:26:41,1,1.70,99.54
2025-11-19 13:28:41,1,1.92,101.19
2025-11-19 13:30:41,1,2.02,102.23
2025-11-19 13:32:41,1,1.86,103.26
2025-11-19 13:34:41,1,1.86,103.52
2025-11-19 13:36:41,1,1.86,103.52
2025-11-19 13:38:41,1,1.77,103.86
2025-11-19 13:40:41,1,2.04,105.02
2025-11-19 13:42:41,1,2.13,107.06
2025-11-19 13:44:41,1,2.22,110.34
2025-11-19 13:46:41,1,2.50,115.26
2025-11-19 13:48:41,1,2.79,119.69
2025-11-19 13:50:41,1,2.35,123.34
2025-11-19 13:52:41,1,2.64,125.97
2025-11-19 13:54:41,1,2.61,128.29
2025-11-19 13:56:41,1,2.22,128.77
2025-11-19 13:58:41,1,2.66,129.75
2025-11-19 14:00:41,0,2.66,129.26
2025-11-19 14:02:41,0,1.83,127.34
2025-11-19 14:04:41,0,2.01,125.96
2025-11-19 14:06:41,0,2.34,124.63
2025-11-19 14:08:41,0,2.31,123.33
2025-11-19 14:10:41,0,2.26,122.49
2025-11-19 14:12:41,0,2.19,121.26
2025-11-19 14:14:41,0,2.15,120.46
2025-11-19 14:16:41,0,2.43,119.67
2025-11-19 14:18:41,0,2.11,119.29
2025-11-19 14:20:41,0,2.08,119.29
2025-11-19 14:22:41,0,2.08,119.29
2025-11-19 14:24:41,0,2.04,118.52
2025-11-19 14:26:41,0,2.02,118.14
2025-11-19 14:28:41,0,1.87,114.91
2025-11-19 14:30:41,0,1.77,112.88
2025-11-19 14:32:41,0,1.69,111.26
2025-11-19 14:34:41,0,1.63,110.02
2025-11-19 14:36:41,0,1.85,109.11
2025-11-19 14:38:41,0,1.84,108.21
2025-11-19 14:40:41,0,1.54,107.06
2025-11-19 14:42:41,0,1.70,105.66
2025-11-19 14:44:41,0,1.42,104.04
2025-11-19 14:46:41,0,1.33,102.49
2025-11-19 14:48:41,0,1.49,100.99
2025-11-19 14:50:41,0,1.41,99.30
2025-11-19 14:52:41,0,1.39,97.92
2025-11-19 14:54:41,0,1.28,96.59
2025-11-19 14:56:41,0,1.29,95.50
2025-11-19 14:58:41,0,1.25,94.24
2025-11-19 15:00:41,0,1.21,92.83
2025-11-19 15:02:41,0,1.13,90.69
2025-11-19 15:04:41,0,0.95,89.20
2025-11-19 15:06:41,0,1.14,88.06
2025-11-19 15:08:41,0,1.17,86.73
2025-11-19 15:10:41,0,1.15,85.72
2025-11-19 15:12:41,0,1.09,84.73
2025-11-19 15:14:41,0,0.99,83.77
2025-11-19 15:16:41,0,1.05,82.83
2025-11-19 15:18:41,0,1.02,81.60
2025-11-19 15:20:41,0,0.99,80.71
2025-11-19 15:22:41,0,0.91,79.55
2025-11-19 15:24:41,0,0.89,78.65
2025-11-19 15:26:41,0,0.90,77.60
2025-11-19 15:28:41,0,0.87,76.25
2025-11-19 15:30:41,0,0.85,75.34
2025-11-19 15:32:41,0,0.83,74.45
2025-11-19 15:34:41,0,0.81,73.70
2025-11-19 15:36:41,0,0.81,72.96
2025-11-19 15:38:41,0,0.91,72.28
2025-11-19 15:40:41,0,0.87,71.88
2025-11-19 15:42:41,0,0.77,71.41
