Timestamp,Usage EXACT 29333,Gradient EXACT 29333,Temperature EXACT 29333,Usage EXACT 29282,Gradient EXACT 29282,Temperature EXACT 29282,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29323,Gradient EXACT 29323,Temperature EXACT 29323,Weight (kg),w_smooth,consumption (kg)
2025-11-14 11:49:47,0,-0.09,29.60,0,0.00,30.24,0.001067,,0.0,0,-0.05,30.84,-0.000113,,0.0
2025-11-14 11:51:47,0,-0.06,30.44,0,0.00,31.16,7.829777,7.829777,0.0,0,-0.01,31.16,1.601211,1.601211,0.0
2025-11-14 11:53:47,0,-0.09,31.05,0,-0.02,32.09,7.655607,7.655607,0.17417000000000016,0,-0.05,31.49,4.051929,4.051929,0.0
2025-11-14 11:55:47,0,-0.09,31.92,0,-0.00,32.03,7.655045,7.655607,0.0,0,-0.00,32.25,4.052824,4.051929,0.0
2025-11-14 11:57:47,0,-0.04,32.52,0,-0.05,32.91,7.655045,7.655454,0.0,0,-0.00,31.76,3.212488,3.212488,0.8394410000000003
2025-11-14 11:59:47,0,-0.08,33.36,0,-0.01,34.42,7.655454,7.655454,0.0,0,-0.00,31.21,3.212154,3.212164,0.0
2025-11-14 12:01:47,0,-0.08,33.86,0,0.04,35.62,7.655819,7.655819,0.0,0,-0.00,31.21,3.212154,3.212154,0.0
2025-11-14 12:03:47,0,-0.08,33.97,0,-0.05,36.08,7.656399,7.655872,0.0,0,-0.05,31.16,3.212154,3.212154,0.0
2025-11-14 12:05:47,0,-0.13,33.92,0,0.04,36.54,7.656399,7.656399,0.0,0,-0.00,31.32,3.212189,3.212267,0.0
2025-11-14 12:07:47,0,-0.09,33.97,0,0.05,37.18,7.657224,7.656429,0.0,0,-0.02,31.47,3.21239,3.21239,0.0
2025-11-14 12:09:47,0,-0.15,33.83,0,-0.05,37.47,7.657224,7.657224,0.0,0,-0.00,31.27,3.21239,3.21239,0.0
2025-11-14 12:11:47,0,-0.09,33.86,0,-0.01,37.94,7.658758,7.658758,0.0,0,-0.00,31.00,3.212239,3.212239,0.0
2025-11-14 12:13:47,0,-0.08,33.81,0,-0.01,38.42,7.65897,7.65897,0.0,0,0.04,32.25,3.211918,3.211918,0.0
2025-11-14 12:15:47,0,-0.08,33.81,0,-0.06,38.42,7.65897,7.65897,0.0,0,0.01,33.19,3.211545,3.211545,0.0
2025-11-14 12:17:47,0,0.01,33.68,0,-0.04,38.72,7.658997,7.658997,0.0,0,0.06,34.70,3.211186,3.211186,0.0
2025-11-14 12:19:47,0,0.00,32.91,0,-0.01,37.48,7.659227,7.659227,0.0,0,0.02,34.94,3.211079,3.211079,0.0
2025-11-14 12:21:47,0,-0.08,32.25,0,0.04,36.02,7.659781,7.659781,0.0,0,-0.04,33.80,3.211,3.211,0.0
2025-11-14 12:23:47,0,-0.04,31.49,0,0.05,34.87,7.659781,7.659781,0.0,0,-0.01,32.75,3.210522,3.210714,0.0
2025-11-14 12:25:47,0,-0.04,30.84,0,-0.00,33.86,7.659706,7.660238,0.0,0,-0.00,31.98,3.210384,3.210384,0.0
2025-11-14 12:27:47,0,-0.09,30.35,0,-0.05,32.91,7.660285,7.660285,0.0,0,-0.00,31.16,3.210384,3.210384,0.0
2025-11-14 12:29:47,0,-0.08,29.72,0,-0.01,32.14,7.65993,7.660285,0.0,0,-0.02,30.29,3.210384,3.210384,0.0
2025-11-14 12:31:47,0,-0.04,29.18,0,-0.05,31.54,7.660582,7.660582,0.0,0,-0.00,29.60,3.210884,3.210884,0.0
2025-11-14 12:33:47,0,-0.00,28.69,0,0.01,30.83,7.660749,7.660749,0.0,0,-0.05,29.01,3.211016,3.210868,0.0
2025-11-14 12:35:47,0,-0.05,28.29,0,-0.04,29.92,7.66036,7.66036,0.0,0,-0.00,28.59,3.210868,3.210868,0.0
2025-11-14 12:37:47,0,0.01,28.01,0,-0.05,29.33,7.659661,7.660355,0.0,0,-0.02,28.16,3.21095,3.21095,0.0
2025-11-14 12:39:47,0,-0.02,27.69,0,0.02,29.05,7.660355,7.66036,0.0,0,-0.04,27.87,3.210972,3.210972,0.0
2025-11-14 12:41:47,0,-0.02,27.48,0,0.00,28.80,7.660644,7.660644,0.0,0,-0.02,27.59,3.211696,3.211696,0.0
2025-11-14 12:43:47,0,-0.03,27.34,0,0.05,28.80,7.661697,7.661697,0.0,0,-0.02,27.38,3.211711,3.211711,0.0
2025-11-14 12:45:47,0,-0.01,27.22,0,-0.04,28.80,7.661813,7.661697,0.0,0,-0.04,27.24,3.211711,3.211711,0.0
2025-11-14 12:47:47,0,0.01,27.12,0,-0.00,28.85,7.661981,7.661981,0.0,0,-0.00,27.12,3.211592,3.211592,0.0
2025-11-14 12:49:47,0,0.00,27.01,0,0.01,28.85,7.66202,7.661981,0.0,0,-0.02,26.96,3.210469,3.210469,0.0
2025-11-14 12:51:47,0,-0.03,26.92,0,-0.04,28.71,7.661861,7.661861,0.0,0,-0.03,26.86,3.210051,3.210051,0.0
2025-11-14 12:53:47,0,-0.03,26.87,0,0.03,28.63,7.661822,7.661822,0.0,0,-0.00,26.81,3.210051,3.210051,0.0
2025-11-14 12:55:47,0,-0.01,26.81,0,-0.04,28.32,7.661822,7.661822,0.0,0,-0.03,26.70,3.210041,3.210041,0.0
