sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,314
Sensor ID:,29339
Sensor Type:,EXACTv2 
Start time:,2025-11-15 14:20:42
Stop time:,2025-12-03 14:06:42
Total number of logs:,25906
Maximum temperature:,71.76
Errors:,0
Stove Name:,Char Bas
Cooking Events per day:,0.5
Cooking Time (min/day):,11.34
Number of days of cooking:,5

Timestamp,Usage EXACT 29339,Gradient EXACT 29339,Temperature EXACT 29339
2025-11-15 14:22:42,0,0.01,29.40
2025-11-15 14:24:42,0,0.00,29.17
2025-11-15 14:26:42,0,0.00,29.12
2025-11-15 14:28:42,0,0.00,29.12
2025-11-15 14:30:42,0,0.00,29.12
2025-11-15 14:32:42,0,0.00,29.12
2025-11-15 14:34:42,0,0.00,29.12
2025-11-15 14:36:42,0,0.00,29.12
2025-11-15 14:38:42,0,0.01,29.17
2025-11-15 14:40:42,0,0.05,29.28
2025-11-15 14:42:42,0,0.00,29.33
2025-11-15 14:44:42,0,0.00,29.33
2025-11-15 14:46:42,0,0.00,29.33
2025-11-15 14:48:42,0,0.08,29.43
2025-11-15 14:50:42,0,0.05,29.44
2025-11-15 14:52:42,0,0.03,29.44
2025-11-15 14:54:42,0,0.00,29.44
2025-11-15 14:56:42,0,0.00,29.44
2025-11-15 14:58:42,0,0.00,29.44
2025-11-15 15:00:42,0,0.05,29.44
2025-11-15 15:02:42,0,0.09,29.44
2025-11-15 15:04:42,0,0.09,29.43
2025-11-15 15:06:42,0,0.01,29.44
2025-11-15 15:08:42,0,0.00,29.44
2025-11-15 15:10:42,0,0.00,29.44
2025-11-15 15:12:42,0,0.00,29.44
2025-11-15 15:14:42,0,0.00,29.44
2025-11-15 15:16:42,0,0.00,29.44
2025-11-15 15:18:42,0,0.03,29.47
2025-11-15 15:20:42,0,0.00,29.44
2025-11-15 15:22:42,0,0.00,29.44
2025-11-15 15:24:42,0,0.00,29.44
2025-11-15 15:26:42,0,0.00,29.44
2025-11-15 15:28:42,0,0.05,29.38
2025-11-15 15:30:42,0,0.00,29.33
2025-11-15 15:32:42,0,0.05,29.28
2025-11-15 15:34:42,0,0.00,29.17
2025-11-15 15:36:42,0,0.04,29.11
2025-11-15 15:38:42,0,0.00,29.02
2025-11-15 15:40:42,0,0.00,28.85
2025-11-15 15:42:42,0,0.00,28.75
2025-11-15 15:44:42,0,0.05,28.64
2025-11-15 15:46:42,0,0.01,28.50
2025-11-15 15:48:42,0,0.01,28.43
2025-11-15 15:50:42,0,0.00,28.32
2025-11-15 15:52:42,0,0.00,28.22
2025-11-15 15:54:42,0,0.00,28.11
2025-11-15 15:56:42,0,0.00,27.96
2025-11-15 15:58:42,0,0.05,27.85
2025-11-15 16:00:42,0,0.04,27.75
2025-11-15 16:02:42,0,0.00,27.59
2025-11-15 16:04:42,0,0.03,27.46
2025-11-15 16:06:42,0,0.00,27.33
2025-11-15 16:08:42,0,0.04,27.32
2025-11-15 16:10:42,0,0.03,27.20
2025-11-15 16:12:42,0,0.00,27.06
2025-11-15 16:14:42,0,0.05,26.96
2025-11-15 16:16:42,0,0.03,26.86
2025-11-15 16:18:42,0,0.01,26.81
2025-11-15 16:20:42,0,0.00,26.70
2025-11-15 16:22:42,0,0.05,26.65
2025-11-15 16:24:42,0,0.01,26.54
2025-11-15 16:26:42,0,0.01,26.28
2025-11-15 16:28:42,0,0.06,25.98
2025-11-15 16:30:42,0,0.01,25.82
2025-11-15 16:32:42,0,0.00,25.71
2025-11-15 16:34:42,0,0.00,25.61
2025-11-15 16:36:42,0,0.05,25.51
2025-11-15 16:38:42,0,0.00,25.36
2025-11-15 16:40:42,0,0.03,25.28
2025-11-15 16:42:42,0,0.05,25.25
2025-11-15 16:44:42,0,0.04,25.19
2025-11-15 16:46:42,0,0.00,25.15
2025-11-15 16:48:42,0,0.00,25.20
2025-11-15 16:50:42,0,0.00,25.30
2025-11-15 16:52:42,0,0.00,25.41
2025-11-15 16:54:42,0,0.01,25.56
2025-11-15 16:56:42,0,0.01,25.67
2025-11-15 16:58:42,0,0.05,25.82
2025-11-15 17:00:42,0,0.00,25.87
2025-11-15 17:02:42,0,0.00,25.98
2025-11-15 17:04:42,0,0.05,26.03
2025-11-15 17:06:42,0,0.00,26.08
