Timestamp,Usage EXACT 29567,Gradient EXACT 29567,Temperature EXACT 29567,Weight (kg),w_smooth,consumption (kg),Weight (kg),w_smooth,consumption (kg),Usage EXACT 29344,Gradient EXACT 29344,Temperature EXACT 29344
2025-11-11 14:15:24,0,0.00,24.94,-0.000494,,0.0,-0.001569,,0.0,0,0.01,23.36
2025-11-11 14:17:24,0,0.00,25.20,-0.000389,-0.000389,0.0,-0.002133,-0.002133,0.0,0,0.00,23.41
2025-11-11 14:19:24,0,0.00,24.99,0.063725,0.063725,0.0,-0.002335,-0.002335,0.0,0,0.05,23.51
2025-11-11 14:21:24,0,0.04,24.79,3.841834,3.84165,0.0,-0.003282,-0.003282,0.0,0,0.00,23.51
2025-11-11 14:23:24,0,-0.04,24.58,3.84165,3.84165,0.0,-0.003493,-0.003493,0.0,0,0.05,23.56
2025-11-11 14:25:24,0,-0.00,24.48,3.840951,3.840951,0.0,-0.003959,-0.003959,0.0,0,0.03,23.61
2025-11-11 14:27:24,0,-0.05,24.43,3.840918,3.840918,0.0,-0.004609,-0.004609,0.0,0,0.03,23.68
2025-11-11 14:29:24,0,0.00,24.49,3.840056,3.840056,0.0,-0.004609,-0.004609,0.0,0,0.00,23.71
2025-11-11 14:31:24,0,0.01,24.64,3.107105,3.107105,0.0,-0.004946,-0.004946,0.0,0,0.00,23.82
2025-11-11 14:33:24,0,0.01,24.99,3.107105,3.107105,0.0,-0.005215,-0.005215,0.0,0,0.02,23.84
2025-11-11 14:35:24,0,0.00,25.41,3.106777,3.106777,0.0,-0.005356,-0.005356,0.0,0,0.00,23.82
2025-11-11 14:37:24,0,0.05,25.71,3.106168,3.106777,0.0,-0.005801,-0.005801,0.0,0,0.00,23.87
2025-11-11 14:39:24,0,0.05,25.77,3.106777,3.106168,0.0,-0.005801,-0.005801,0.0,0,0.00,23.97
2025-11-11 14:41:24,0,0.05,25.82,3.106075,3.10609,0.0,-0.00509,-0.00509,0.0,0,0.00,24.17
2025-11-11 14:43:24,0,0.01,25.92,3.106556,3.106556,0.0,-0.004863,-0.004863,0.0,0,0.04,24.43
2025-11-11 14:45:24,0,0.05,26.18,3.106653,3.106653,0.0,-0.004612,-0.004612,0.0,0,0.00,24.69
2025-11-11 14:47:24,0,0.05,26.59,3.106918,3.106653,0.0,-0.004658,-0.004658,0.0,0,0.05,24.99
2025-11-11 14:49:24,0,0.09,27.06,3.106201,3.106451,0.0,-0.00528,-0.00528,0.0,0,0.00,25.26
2025-11-11 14:51:24,0,0.05,27.60,3.106451,3.106451,0.0,-0.006248,-0.006248,0.0,0,0.05,25.61
2025-11-11 14:53:24,0,0.10,28.27,3.106511,3.106511,0.0,-0.006591,-0.006591,0.0,0,0.01,25.94
2025-11-11 14:55:24,0,0.14,28.96,3.10665,3.106511,0.0,-0.006597,-0.006591,0.0,0,0.00,26.23
2025-11-11 14:57:24,0,0.10,29.49,3.106511,3.106511,0.0,-0.006331,-0.006331,0.0,0,0.00,26.44
2025-11-11 14:59:24,0,0.15,29.97,3.10643,3.106511,0.0,-0.006331,-0.006331,0.0,0,0.00,26.65
2025-11-11 15:01:24,0,0.15,30.40,3.106626,3.106626,0.0,-0.006674,-0.006674,0.0,0,0.00,26.70
2025-11-11 15:03:24,0,0.15,30.94,3.107135,3.106843,0.0,-0.006643,-0.006643,0.0,0,0.01,26.66
2025-11-11 15:05:24,0,0.15,31.43,3.106843,3.106843,0.0,-0.005997,-0.006643,0.0,0,0.05,26.60
2025-11-11 15:07:24,0,0.10,31.87,3.106113,3.106397,0.0,-0.006643,-0.006643,0.0,0,0.00,26.49
2025-11-11 15:09:24,0,0.15,32.19,3.106397,3.106397,0.0,-0.006839,-0.006839,0.0,0,0.03,26.45
