sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,333
Sensor ID:,29579
Sensor Type:,EXACTv2 
Start time:,2025-11-29 10:06:52
Stop time:,2025-12-04 14:30:52
Total number of logs:,7464
Maximum temperature:,37.24
Errors:,0
Stove Name:,supamoto
Cooking Events per day:,1.35
Cooking Time (min/day):,73.33
Number of days of cooking:,5

Timestamp,Usage EXACT 29579,Gradient EXACT 29579,Temperature EXACT 29579
2025-11-29 10:08:52,0,0.05,29.55
2025-11-29 10:10:52,0,0.01,29.55
2025-11-29 10:12:52,0,0.05,29.60
2025-11-29 10:14:52,0,0.10,29.65
2025-11-29 10:16:52,0,0.08,29.65
2025-11-29 10:18:52,0,0.02,29.65
2025-11-29 10:20:52,0,0.04,29.65
2025-11-29 10:22:52,0,0.00,29.65
2025-11-29 10:24:52,0,0.00,29.65
2025-11-29 10:26:52,0,0.00,29.65
2025-11-29 10:28:52,0,0.00,29.65
2025-11-29 10:30:52,0,0.00,29.65
2025-11-29 10:32:52,0,0.00,29.65
2025-11-29 10:34:52,0,0.00,29.65
2025-11-29 10:36:52,0,0.00,29.65
2025-11-29 10:38:52,0,0.00,29.65
2025-11-29 10:40:52,0,0.00,29.65
2025-11-29 10:42:52,0,0.00,29.65
2025-11-29 10:44:52,0,0.00,29.65
2025-11-29 10:46:52,0,0.00,29.65
2025-11-29 10:48:52,0,0.00,29.65
2025-11-29 10:50:52,0,0.00,29.65
2025-11-29 10:52:52,0,0.00,29.65
2025-11-29 10:54:52,0,0.04,29.65
2025-11-29 10:56:52,0,0.09,29.64
2025-11-29 10:58:52,0,0.05,29.65
2025-11-29 11:00:52,0,0.01,29.65
2025-11-29 11:02:52,0,0.00,29.65
2025-11-29 11:04:52,0,0.00,29.65
2025-11-29 11:06:52,0,0.00,29.65
2025-11-29 11:08:52,0,0.00,29.65
2025-11-29 11:10:52,0,0.05,29.65
2025-11-29 11:12:52,0,0.05,29.60
2025-11-29 11:14:52,0,0.00,29.55
2025-11-29 11:16:52,0,0.00,29.55
2025-11-29 11:18:52,0,0.07,29.55
2025-11-29 11:20:52,0,0.05,29.49
2025-11-29 11:22:52,0,0.01,29.44
2025-11-29 11:24:52,0,0.00,29.44
2025-11-29 11:26:52,0,0.00,29.44
2025-11-29 11:28:52,0,0.03,29.47
2025-11-29 11:30:52,0,0.00,29.44
2025-11-29 11:32:52,0,0.02,29.46
2025-11-29 11:34:52,0,0.10,29.55
2025-11-29 11:36:52,0,0.11,29.55
2025-11-29 11:38:52,0,0.11,29.55
2025-11-29 11:40:52,0,0.11,29.55
2025-11-29 11:42:52,0,0.04,29.55
2025-11-29 11:44:52,0,0.06,29.55
2025-11-29 11:46:52,0,0.01,29.55
2025-11-29 11:48:52,0,0.02,29.55
2025-11-29 11:50:52,0,0.00,29.55
2025-11-29 11:52:52,0,0.00,29.55
2025-11-29 11:54:52,0,0.00,29.55
2025-11-29 11:56:52,0,0.06,29.62
2025-11-29 11:58:52,0,0.06,29.65
2025-11-29 12:00:52,0,0.03,29.65
2025-11-29 12:02:52,0,0.04,29.65
2025-11-29 12:04:52,0,0.00,29.65
2025-11-29 12:06:52,0,0.00,29.65
2025-11-29 12:08:52,0,0.05,29.70
2025-11-29 12:10:52,0,0.10,29.76
2025-11-29 12:12:52,0,0.11,29.76
2025-11-29 12:14:52,0,0.11,29.76
2025-11-29 12:16:52,0,0.02,29.76
2025-11-29 12:18:52,0,0.00,29.76
2025-11-29 12:20:52,0,0.00,29.76
2025-11-29 12:22:52,0,0.00,29.76
2025-11-29 12:24:52,0,0.00,29.76
2025-11-29 12:26:52,0,0.00,29.76
2025-11-29 12:28:52,0,0.00,29.76
2025-11-29 12:30:52,0,0.00,29.76
2025-11-29 12:32:52,0,0.00,29.76
2025-11-29 12:34:52,0,0.00,29.76
2025-11-29 12:36:52,0,0.00,29.76
2025-11-29 12:38:52,0,0.00,29.76
2025-11-29 12:40:52,0,0.08,29.85
2025-11-29 12:42:52,0,0.06,29.87
2025-11-29 12:44:52,0,0.01,29.87
2025-11-29 12:46:52,0,0.00,29.81
2025-11-29 12:48:52,0,0.00,29.60
2025-11-29 12:50:52,0,0.00,29.38
2025-11-29 12:52:52,0,0.05,29.28
2025-11-29 12:54:52,0,0.02,29.14
2025-11-29 12:56:52,0,0.00,29.12
2025-11-29 12:58:52,0,0.01,29.12
2025-11-29 13:00:52,0,0.00,29.12
2025-11-29 13:02:52,0,0.05,29.23
2025-11-29 13:04:52,0,0.09,29.31
2025-11-29 13:06:52,0,0.03,29.35
2025-11-29 13:08:52,0,0.00,29.44
2025-11-29 13:10:52,0,0.05,29.55
2025-11-29 13:12:52,0,0.04,29.64
2025-11-29 13:14:52,0,0.04,29.69
2025-11-29 13:16:52,0,0.08,29.76
