Timestamp,Weight (kg),w_smooth,consumption (kg),Usage EXACT 29533,Gradient EXACT 29533,Temperature EXACT 29533,Usage EXACT 29545,Gradient EXACT 29545,Temperature EXACT 29545,Weight (kg),w_smooth,consumption (kg)
2025-11-21 15:24:59,0.072565,,0.0,0,0.05,33.75,0,0.00,31.54,-0.001272,,0.0
2025-11-21 15:26:59,0.075442,0.075442,0.0,0,0.05,32.47,0,0.00,30.94,-0.002217,-0.002055,0.0
2025-11-21 15:28:59,0.075518,0.075518,0.0,0,0.01,31.27,0,0.04,30.67,-0.001272,-0.001272,0.0
2025-11-21 15:30:59,0.611525,0.611525,0.0,0,0.03,30.46,0,0.00,30.50,0.099834,0.099834,0.0
2025-11-21 15:32:59,0.611525,0.611525,0.0,0,0.09,29.81,0,0.01,30.20,3.455568,3.455568,0.0
2025-11-21 15:34:59,0.610808,0.610808,0.0,0,0.01,29.22,0,0.00,29.76,3.455568,3.455568,0.0
2025-11-21 15:36:59,0.610586,0.610586,0.0,0,0.01,28.82,0,0.00,29.33,3.451322,3.451322,0.0
2025-11-21 15:38:59,0.610586,0.610395,0.0,0,0.00,28.54,0,0.02,29.01,3.450041,3.450041,0.0
2025-11-21 15:40:59,0.610395,0.610395,0.0,0,0.04,28.32,0,0.00,28.75,3.448693,3.448702,0.0
2025-11-21 15:42:59,0.610637,0.610395,0.0,0,0.05,28.22,0,0.00,28.54,3.448702,3.448693,0.0
2025-11-21 15:44:59,0.610732,0.610386,0.0,0,0.05,28.06,0,0.00,28.32,3.44854,3.44854,0.0
2025-11-21 15:46:59,0.610186,0.610186,0.0,0,0.00,27.90,0,0.00,28.06,3.448156,3.448156,0.0
2025-11-21 15:48:59,0.609159,0.609159,0.0,0,0.05,27.75,0,0.04,27.74,3.447349,3.447349,0.0
2025-11-21 15:50:59,0.608695,0.608695,0.0,0,0.05,27.64,0,0.03,27.48,3.447349,3.447349,0.0
2025-11-21 15:52:59,0.60802,0.608213,0.0,0,0.02,27.77,0,0.00,27.17,3.447262,3.447262,0.0
2025-11-21 15:54:59,0.608318,0.608318,0.0,0,0.05,27.80,0,0.00,26.96,3.447262,3.447262,0.0
2025-11-21 15:56:59,0.608886,0.60886,0.0,0,0.00,27.75,0,0.00,26.75,3.447199,3.447199,0.0
2025-11-21 15:58:59,0.60886,0.608886,0.0,0,0.08,27.74,0,0.00,26.54,3.446722,3.446722,0.0
2025-11-21 16:00:59,0.608883,0.608883,0.0,0,0.01,27.64,0,0.00,26.34,3.446722,3.446722,0.0
2025-11-21 16:02:59,0.608883,0.608883,0.0,0,0.05,27.64,0,0.00,26.23,3.446494,3.446494,0.0
2025-11-21 16:04:59,0.608553,0.608553,0.0,0,0.01,27.54,0,0.05,26.13,3.445753,3.446044,0.0
2025-11-21 16:06:59,0.608553,0.608553,0.0,0,0.05,27.43,0,0.00,26.08,3.446044,3.446044,0.0
2025-11-21 16:08:59,1.903923,1.903923,0.0,0,0.05,27.22,0,0.00,26.13,3.449897,3.449897,0.0
2025-11-21 16:10:59,1.904548,1.904548,0.0,0,0.05,27.17,0,0.00,26.34,3.449897,3.449897,0.0
2025-11-21 16:12:59,1.904548,1.904548,0.0,0,0.00,27.12,0,0.00,26.49,3.448267,3.448267,0.0
2025-11-21 16:14:59,1.904482,1.904482,0.0,0,0.00,27.12,0,0.00,26.49,3.447883,3.447883,0.0
2025-11-21 16:16:59,1.903936,1.903936,0.0,0,0.03,27.20,0,0.05,26.65,3.446707,3.446707,0.0
2025-11-21 16:18:59,1.903657,1.903657,0.0,0,0.05,27.38,0,0.09,26.80,3.446698,3.446707,0.0
2025-11-21 16:20:59,1.903644,1.903644,0.0,0,0.05,27.48,0,0.02,26.71,3.448951,3.448951,0.0
2025-11-21 16:22:59,1.902728,1.902728,0.0,0,0.09,27.54,0,0.00,26.65,3.449626,3.448951,0.0
2025-11-21 16:24:59,1.90262,1.90262,0.0,0,0.10,27.54,0,0.05,26.60,3.448714,3.448714,0.0
2025-11-21 16:26:59,1.90235,1.90261,0.0,0,0.05,27.54,0,0.00,26.49,3.448219,3.448219,0.0
2025-11-21 16:28:59,1.902797,1.902617,0.0,0,0.05,27.59,0,0.00,26.39,3.448897,3.448897,0.0
2025-11-21 16:30:59,1.902797,1.902797,0.0,0,0.05,27.69,0,0.00,26.39,3.449827,3.449827,0.0
2025-11-21 16:32:59,1.903197,1.903197,0.0,0,0.05,27.85,0,-0.05,26.39,3.449888,3.449888,0.0
2025-11-21 16:34:59,1.903736,1.903514,0.0,0,0.01,28.01,0,-0.02,26.39,3.449524,3.449524,0.0
2025-11-21 16:36:59,1.903004,1.903004,0.0,0,0.00,28.22,0,-0.00,26.34,3.449266,3.449266,0.0
2025-11-21 16:38:59,1.902598,1.902598,0.0,1,0.09,28.54,0,-0.00,26.29,3.448474,3.448474,0.0
2025-11-21 16:40:59,1.901437,1.901437,0.0,1,0.05,28.85,0,-0.00,26.23,3.448192,3.448192,0.0
2025-11-21 16:42:59,1.901437,1.901427,0.0,1,0.10,29.22,0,-0.00,26.18,3.446131,3.446137,0.0
2025-11-21 16:44:59,1.901427,1.901427,0.0,1,0.05,29.54,0,-0.00,26.18,3.446137,3.446131,0.0
2025-11-21 16:46:59,1.901427,1.901427,0.0,1,0.10,29.97,0,-0.00,26.23,3.446131,3.446137,0.0
2025-11-21 16:48:59,1.902207,1.902207,0.0,1,0.10,30.30,0,-0.00,26.29,3.446224,3.446224,0.0
2025-11-21 16:50:59,1.902553,1.902553,0.0,1,0.11,30.57,0,-0.00,26.29,3.446935,3.446935,0.0
2025-11-21 16:52:59,1.902671,1.902553,0.0,1,0.10,30.94,0,-0.00,26.29,3.446935,3.446935,0.0
2025-11-21 16:54:59,1.902357,1.902372,0.0,1,0.10,31.38,0,0.06,26.39,3.446878,3.446878,0.0
2025-11-21 16:56:59,1.902372,1.902357,0.0,1,0.20,31.82,0,0.01,26.39,3.445792,3.445792,0.0
2025-11-21 16:58:59,1.901376,1.901376,0.0,1,0.15,32.19,0,0.00,26.39,3.445411,3.445411,0.0
2025-11-21 17:00:59,1.901246,1.901376,0.0,1,0.16,32.52,0,0.00,26.39,3.44536,3.44536,0.0
2025-11-21 17:02:59,1.901376,1.901376,0.0,1,0.21,32.75,0,0.00,26.39,3.44505,3.44505,0.0
2025-11-21 17:04:59,1.901636,1.901636,0.0,1,0.17,32.92,0,0.05,26.34,3.444102,3.444114,0.0
2025-11-21 17:06:59,1.901633,1.901633,0.0,1,0.22,33.19,0,0.01,26.28,3.444114,3.444114,0.0
2025-11-21 17:08:59,1.900847,1.900847,0.0,1,0.22,33.47,0,0.00,26.18,3.446113,3.446113,0.0
2025-11-21 17:10:59,1.900733,1.900847,0.0,1,0.26,34.08,0,0.00,26.18,3.44533,3.44533,0.0
2025-11-21 17:12:59,1.90125,1.90125,0.0,1,0.22,34.65,0,0.01,26.18,3.445081,3.445081,0.0
2025-11-21 17:14:59,1.90125,1.90125,0.0,1,0.27,35.38,0,0.07,26.18,3.444705,3.444705,0.0
2025-11-21 17:16:59,1.901018,1.901018,0.0,1,0.23,35.84,0,0.04,26.13,3.444522,3.444522,0.0
2025-11-21 17:18:59,1.901018,1.900923,0.0,1,0.33,36.25,0,0.00,26.08,3.444522,3.444522,0.0
2025-11-21 17:20:59,1.900916,1.900872,0.0,1,0.25,36.37,0,0.00,26.08,3.445135,3.445135,0.0
2025-11-21 17:22:59,1.900818,1.900818,0.0,1,0.23,36.60,0,0.00,26.08,3.445024,3.445024,0.0
2025-11-21 17:24:59,1.900742,1.900742,0.0,1,0.23,36.83,0,0.01,26.13,3.444225,3.444225,0.0
2025-11-21 17:26:59,1.900742,1.900742,0.0,0,0.23,36.89,0,0.00,26.18,3.444225,3.444225,0.0
2025-11-21 17:28:59,1.900583,1.900583,0.0,0,0.23,36.95,0,0.00,26.18,3.444225,3.444225,0.0
2025-11-21 17:30:59,1.900583,1.900583,0.0,0,0.28,37.06,0,0.00,26.18,3.444156,3.444156,0.0
2025-11-21 17:32:59,1.899794,1.899794,0.0,0,0.23,36.77,0,0.00,26.18,3.443988,3.443988,0.0
2025-11-21 17:34:59,1.899794,1.899794,0.0,0,0.23,36.48,0,0.02,26.13,3.443289,3.443679,0.0
2025-11-21 17:36:59,1.899794,1.899794,0.0,0,0.20,36.07,0,0.00,26.08,3.443679,3.443679,0.0
2025-11-21 17:38:59,1.899883,1.899883,0.0,0,0.16,35.73,0,0.00,26.08,3.443679,3.443289,0.0
2025-11-21 17:40:59,1.899883,1.899883,0.0,0,0.12,35.27,0,0.00,25.98,3.443019,3.443019,0.0
