Timestamp,Usage EXACT 29554,Gradient EXACT 29554,Temperature EXACT 29554,Usage EXACT 29549,Gradient EXACT 29549,Temperature EXACT 29549,Weight (kg),w_smooth,consumption (kg),Weight (kg),w_smooth,consumption (kg)
2025-11-13 12:33:08,0,0.01,27.66,0,-0.03,27.51,0.100426,,0.0,0.000966,,0.0
2025-11-13 12:35:08,0,0.00,27.38,0,-0.00,27.27,4.268801,4.268801,0.0,0.00242,0.00242,0.0
2025-11-13 12:37:08,0,0.05,27.17,0,-0.00,27.06,4.385119,4.385119,0.0,0.001992,0.001992,0.0
2025-11-13 12:39:08,0,0.00,26.96,0,-0.02,26.86,4.385119,4.385119,0.0,0.001782,0.001782,0.0
2025-11-13 12:41:08,0,0.00,26.75,0,-0.00,26.75,4.3837,4.3837,0.0,0.000683,0.001011,0.0
2025-11-13 12:43:08,0,0.00,26.65,0,0.01,26.61,4.38305,4.38305,0.0,0.000891,0.000891,0.0
2025-11-13 12:45:08,0,0.05,26.54,0,-0.01,26.49,4.382733,4.382785,0.0,0.000891,0.000891,0.0
2025-11-13 12:47:08,0,0.04,26.43,0,-0.00,26.40,4.382785,4.382721,0.0,0.000268,0.000268,0.0
2025-11-13 12:49:08,0,0.04,26.34,0,-0.01,26.34,4.382429,4.382721,0.0,-0.000123,-0.000123,0.0
2025-11-13 12:51:08,0,0.05,26.29,0,-0.00,26.29,4.382721,4.382429,0.0,-0.000764,-0.000764,0.0
2025-11-13 12:53:08,0,0.00,26.18,0,0.01,26.20,4.38238,4.382654,0.0,-0.001129,-0.001129,0.0
2025-11-13 12:55:08,0,0.05,26.18,0,0.00,26.18,4.382654,4.382654,0.0,-0.001129,-0.001129,0.0
2025-11-13 12:57:08,0,0.00,26.09,0,0.00,26.18,4.383279,4.383279,0.0,-0.001291,-0.001129,0.0
2025-11-13 12:59:08,0,0.00,26.08,0,-0.02,26.16,4.383831,4.383831,0.0,-0.000731,-0.000731,0.0
2025-11-13 13:01:08,0,0.00,26.08,0,-0.06,26.11,4.383831,4.383831,0.0,-3.9e-05,-3.9e-05,0.0
2025-11-13 13:03:08,0,0.00,26.08,0,-0.04,26.14,4.386808,4.386808,0.0,0.000147,0.000147,0.0
2025-11-13 13:05:08,0,0.00,26.08,0,-0.06,26.12,4.387077,4.387077,0.0,0.000794,0.000794,0.0
2025-11-13 13:07:08,0,0.00,26.08,0,-0.01,26.18,4.387543,4.387543,0.0,0.001258,0.001258,0.0
2025-11-13 13:09:08,0,0.00,26.08,0,-0.00,26.36,4.388207,4.388207,0.0,0.001616,0.001616,0.0
2025-11-13 13:11:08,0,0.00,26.08,0,-0.00,26.54,4.389122,4.389122,0.0,0.001905,0.001905,0.0
2025-11-13 13:13:08,0,0.00,26.08,0,-0.02,26.73,4.389122,4.389534,0.0,0.001905,0.001905,0.0
2025-11-13 13:15:08,0,0.00,26.08,0,-0.00,26.86,4.389652,4.389347,0.0,0.001782,0.001782,0.0
2025-11-13 13:17:08,0,0.00,26.08,0,-0.00,26.98,4.389207,4.389347,0.0,0.0017,0.001782,0.0
2025-11-13 13:19:08,0,0.00,26.08,0,0.01,27.12,4.389207,4.389207,0.0,0.001782,0.0017,0.0
2025-11-13 13:21:08,0,0.00,26.08,0,0.00,27.17,4.389207,4.389207,0.0,0.001574,0.001574,0.0
2025-11-13 13:23:08,0,0.00,26.08,0,0.00,27.22,4.38832,4.38832,0.0,0.000683,0.000683,0.0
2025-11-13 13:25:08,0,0.00,26.08,0,0.00,27.29,3.711945,3.711945,0.0654189999999999,0.000662,0.000662,0.0
2025-11-13 13:27:08,0,0.00,26.08,0,0.00,27.33,3.711326,3.711326,0.0,0.00053,0.00053,0.0
2025-11-13 13:29:08,0,0.00,26.08,0,0.00,27.33,3.71103,3.71103,0.0,0.00053,0.00053,0.0
2025-11-13 13:31:08,0,0.00,26.08,0,0.00,27.33,3.709814,3.709814,0.0,-0.000734,-0.000734,0.0
2025-11-13 13:33:08,0,0.00,26.08,0,0.00,27.33,3.709503,3.709503,0.0,-0.000852,-0.000734,0.0
2025-11-13 13:35:08,0,0.00,26.08,0,0.02,27.42,3.708735,3.709503,0.0,-0.000686,-0.000686,0.0
2025-11-13 13:37:08,0,0.06,26.16,0,0.00,27.48,3.710476,3.710476,0.0,0.000217,0.000217,0.0
2025-11-13 13:39:08,0,0.01,26.18,0,0.00,27.59,3.716063,3.716063,0.0,0.000313,0.000313,0.0
2025-11-13 13:41:08,0,0.02,26.23,0,0.00,27.75,3.716063,3.716063,0.0,0.000698,0.000698,0.0
2025-11-13 13:43:08,0,0.00,26.29,0,0.01,27.90,3.716763,3.716763,0.0,0.002281,0.002281,0.0
2025-11-13 13:45:08,0,0.05,26.39,0,0.01,28.14,3.717782,3.717782,0.0,0.00285,0.00285,0.0
2025-11-13 13:47:08,0,0.04,26.43,0,0.00,28.59,3.718312,3.718312,0.0,0.003009,0.003009,0.0
2025-11-13 13:49:08,0,0.02,26.49,0,0.00,28.91,3.719553,3.719553,0.0,0.003593,0.003593,0.0
2025-11-13 13:51:08,0,0.00,26.49,0,-0.02,29.05,3.719684,3.719684,0.0,0.003837,0.003593,0.0
