sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,517
Sensor ID:,29532
Sensor Type:,EXACTv2 
Start time:,2025-11-20 16:31:05
Stop time:,2025-11-27 12:15:05
Total number of logs:,9824
Maximum temperature:,58.24
Errors:,0
Stove Name:,mimimoto
Cooking Events per day:,1.76
Cooking Time (min/day):,102.92
Number of days of cooking:,5

Timestamp,Usage EXACT 29532,Gradient EXACT 29532,Temperature EXACT 29532
2025-11-20 16:33:05,0,0.00,25.15
2025-11-20 16:35:05,0,0.00,24.74
2025-11-20 16:37:05,0,0.00,24.48
2025-11-20 16:39:05,0,0.00,24.28
2025-11-20 16:41:05,0,0.00,24.12
2025-11-20 16:43:05,0,0.00,24.02
2025-11-20 16:45:05,0,0.08,24.01
2025-11-20 16:47:05,0,0.04,23.96
2025-11-20 16:49:05,0,0.02,24.09
2025-11-20 16:51:05,0,0.00,24.28
2025-11-20 16:53:05,0,0.04,24.43
2025-11-20 16:55:05,0,0.00,24.53
2025-11-20 16:57:05,0,0.01,24.64
2025-11-20 16:59:05,0,0.00,24.74
2025-11-20 17:01:05,0,0.01,24.84
2025-11-20 17:03:05,0,0.00,24.89
2025-11-20 17:05:05,0,0.00,24.94
2025-11-20 17:07:05,0,0.00,25.05
2025-11-20 17:09:05,0,0.02,25.15
2025-11-20 17:11:05,0,0.01,25.15
2025-11-20 17:13:05,0,0.08,25.14
2025-11-20 17:15:05,0,0.10,25.15
2025-11-20 17:17:05,0,0.05,25.15
2025-11-20 17:19:05,0,0.01,25.15
2025-11-20 17:21:05,0,0.00,25.15
2025-11-20 17:23:05,0,0.00,25.15
2025-11-20 17:25:05,0,0.00,25.15
2025-11-20 17:27:05,0,0.05,25.20
2025-11-20 17:29:05,0,0.09,25.25
2025-11-20 17:31:05,0,0.09,25.24
2025-11-20 17:33:05,0,0.05,25.25
2025-11-20 17:35:05,0,0.01,25.25
2025-11-20 17:37:05,0,0.00,25.25
2025-11-20 17:39:05,0,0.07,25.25
2025-11-20 17:41:05,0,0.08,25.23
2025-11-20 17:43:05,0,0.01,25.15
2025-11-20 17:45:05,0,0.00,25.15
2025-11-20 17:47:05,0,0.00,25.15
2025-11-20 17:49:05,0,0.05,25.15
2025-11-20 17:51:05,0,0.05,25.10
2025-11-20 17:53:05,0,0.01,25.05
2025-11-20 17:55:05,0,0.04,25.09
2025-11-20 17:57:05,0,0.00,25.05
2025-11-20 17:59:05,0,0.00,25.05
2025-11-20 18:01:05,0,0.00,25.05
2025-11-20 18:03:05,0,0.00,24.94
2025-11-20 18:05:05,0,0.00,24.89
2025-11-20 18:07:05,0,0.00,24.84
2025-11-20 18:09:05,0,0.07,24.83
2025-11-20 18:11:05,0,0.01,24.74
2025-11-20 18:13:05,0,0.00,24.74
2025-11-20 18:15:05,0,0.00,24.74
2025-11-20 18:17:05,0,0.05,24.74
2025-11-20 18:19:05,0,0.05,24.69
2025-11-20 18:21:05,0,0.01,24.64
2025-11-20 18:23:05,0,0.08,24.64
2025-11-20 18:25:05,0,0.10,24.64
2025-11-20 18:27:05,0,0.09,24.63
2025-11-20 18:29:05,0,0.05,24.57
2025-11-20 18:31:05,0,0.00,24.53
2025-11-20 18:33:05,0,0.01,24.53
2025-11-20 18:35:05,0,0.05,24.48
2025-11-20 18:37:05,0,0.00,24.43
2025-11-20 18:39:05,0,0.00,24.43
2025-11-20 18:41:05,0,0.07,24.43
2025-11-20 18:43:05,0,0.09,24.42
2025-11-20 18:45:05,0,0.04,24.36
2025-11-20 18:47:05,0,0.06,24.43
2025-11-20 18:49:05,0,0.01,24.43
2025-11-20 18:51:05,0,0.00,24.43
2025-11-20 18:53:05,0,0.00,24.43
2025-11-20 18:55:05,0,0.05,24.43
2025-11-20 18:57:05,0,0.10,24.43
2025-11-20 18:59:05,0,0.10,24.43
2025-11-20 19:01:05,0,0.05,24.38
2025-11-20 19:03:05,0,0.01,24.33
2025-11-20 19:05:05,0,0.00,24.33
2025-11-20 19:07:05,0,0.01,24.33
2025-11-20 19:09:05,0,0.05,24.33
2025-11-20 19:11:05,0,0.09,24.32
2025-11-20 19:13:05,0,0.01,24.23
2025-11-20 19:15:05,0,0.05,24.23
2025-11-20 19:17:05,0,0.01,24.13
2025-11-20 19:19:05,0,0.00,24.12
2025-11-20 19:21:05,0,0.00,24.12
2025-11-20 19:23:05,0,0.05,24.23
2025-11-20 19:25:05,0,0.01,24.24
2025-11-20 19:27:05,0,0.08,24.33
2025-11-20 19:29:05,0,0.09,24.33
2025-11-20 19:31:05,0,0.10,24.33
2025-11-20 19:33:05,0,0.10,24.33
2025-11-20 19:35:05,0,0.05,24.27
2025-11-20 19:37:05,0,0.01,24.23
2025-11-20 19:39:05,0,0.00,24.23
2025-11-20 19:41:05,0,0.00,24.23
2025-11-20 19:43:05,0,0.04,24.23
2025-11-20 19:45:05,0,0.06,24.18
2025-11-20 19:47:05,0,0.01,24.12
