sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,387
Sensor ID:,29461
Sensor Type:,EXACTv2 
Start time:,2025-11-10 12:34:03
Stop time:,2025-11-17 12:53:03
Total number of logs:,10098
Maximum temperature:,110.33
Errors:,62
Stove Name:,Char Bas
Cooking Events per day:,2.99
Cooking Time (min/day):,435.79
Number of days of cooking:,7

Timestamp,Usage EXACT 29461,Gradient EXACT 29461,Temperature EXACT 29461
2025-11-10 12:36:03,1,0.26,30.73
2025-11-10 12:38:03,1,0.31,32.53
2025-11-10 12:40:03,1,0.23,34.14
2025-11-10 12:42:03,1,0.33,35.45
2025-11-10 12:44:03,1,0.34,37.18
2025-11-10 12:46:03,1,0.39,38.89
2025-11-10 12:48:03,1,0.48,41.22
2025-11-10 12:50:03,1,0.51,43.63
2025-11-10 12:52:03,1,0.62,46.15
2025-11-10 12:54:03,1,0.69,48.92
2025-11-10 12:56:03,1,0.73,51.41
2025-11-10 12:58:03,1,0.62,53.23
2025-11-10 13:00:03,1,0.70,55.05
2025-11-10 13:02:03,1,0.79,57.30
2025-11-10 13:04:03,1,0.74,59.90
2025-11-10 13:06:03,1,0.85,62.49
2025-11-10 13:08:03,1,0.84,64.52
2025-11-10 13:10:03,1,1.03,67.51
2025-11-10 13:12:03,1,1.25,71.78
2025-11-10 13:14:03,1,1.13,75.61
2025-11-10 13:16:03,1,1.00,77.06
2025-11-10 13:18:03,1,1.01,77.73
2025-11-10 13:20:03,1,0.81,77.06
2025-11-10 13:22:03,1,0.72,74.94
2025-11-10 13:24:03,1,0.74,74.45
2025-11-10 13:26:03,1,0.97,74.83
2025-11-10 13:28:03,1,0.98,74.96
2025-11-10 13:30:03,1,0.87,73.95
2025-11-10 13:32:03,1,0.84,73.21
2025-11-10 13:34:03,1,0.76,73.97
2025-11-10 13:36:03,1,0.67,72.97
2025-11-10 13:38:03,1,0.57,70.49
2025-11-10 13:40:03,1,0.44,68.25
2025-11-10 13:42:03,1,0.31,65.03
2025-11-10 13:44:03,1,0.31,62.23
2025-11-10 13:46:03,1,0.20,59.02
2025-11-10 13:48:03,1,0.24,55.46
2025-11-10 13:50:03,1,0.31,55.29
2025-11-10 13:52:03,1,0.26,54.73
2025-11-10 13:54:03,1,0.16,52.77
2025-11-10 13:56:03,1,0.29,52.23
2025-11-10 13:58:03,1,0.22,50.22
2025-11-10 14:00:03,1,0.34,49.71
2025-11-10 14:02:03,1,0.54,48.71
2025-11-10 14:04:03,1,0.49,48.78
2025-11-10 14:06:03,1,0.55,51.18
2025-11-10 14:08:03,1,0.45,52.23
2025-11-10 14:10:03,1,0.31,51.32
2025-11-10 14:12:03,1,0.28,51.02
2025-11-10 14:14:03,1,0.34,49.71
2025-11-10 14:16:03,1,0.16,48.42
2025-11-10 14:18:03,1,0.26,48.07
2025-11-10 14:20:03,1,0.21,47.10
2025-11-10 14:22:03,1,0.14,45.60
2025-11-10 14:24:03,1,0.18,44.46
2025-11-10 14:26:03,1,0.18,43.69
2025-11-10 14:28:03,1,0.13,43.50
2025-11-10 14:30:03,1,0.17,43.50
2025-11-10 14:32:03,1,0.17,43.05
2025-11-10 14:34:03,1,0.13,42.68
2025-11-10 14:36:03,1,0.12,41.90
2025-11-10 14:38:03,1,0.24,42.47
2025-11-10 14:40:03,1,0.13,42.09
2025-11-10 14:42:03,1,0.12,41.40
2025-11-10 14:44:03,1,0.17,41.15
2025-11-10 14:46:03,1,0.41,43.31
2025-11-10 14:48:03,1,0.46,46.83
2025-11-10 14:50:03,1,0.42,49.71
2025-11-10 14:52:03,1,0.44,52.00
2025-11-10 14:54:03,1,0.39,53.40
2025-11-10 14:56:03,1,0.37,54.33
2025-11-10 14:58:03,1,0.46,55.85
2025-11-10 15:00:03,1,0.42,56.61
2025-11-10 15:02:03,1,0.26,56.61
2025-11-10 15:04:03,1,0.41,57.29
2025-11-10 15:06:03,0,0.41,57.53
2025-11-10 15:08:03,0,0.26,56.12
