sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,517
Sensor ID:,29521
Sensor Type:,EXACTv2 
Start time:,2025-11-20 16:29:53
Stop time:,2025-11-27 11:58:53
Total number of logs:,9808
Maximum temperature:,95.51
Errors:,0
Stove Name:,Char Pro
Cooking Events per day:,2.94
Cooking Time (min/day):,180.0
Number of days of cooking:,6

Timestamp,Usage EXACT 29521,Gradient EXACT 29521,Temperature EXACT 29521
2025-11-20 16:31:53,0,0.14,32.09
2025-11-20 16:33:53,0,0.19,31.54
2025-11-20 16:35:53,0,0.20,31.16
2025-11-20 16:37:53,0,0.20,30.78
2025-11-20 16:39:53,0,0.15,30.14
2025-11-20 16:41:53,0,0.14,29.65
2025-11-20 16:43:53,0,0.13,29.17
2025-11-20 16:45:53,0,0.09,28.64
2025-11-20 16:47:53,0,0.09,28.16
2025-11-20 16:49:53,0,0.09,27.74
2025-11-20 16:51:53,0,0.09,27.42
2025-11-20 16:53:53,0,0.09,27.11
2025-11-20 16:55:53,0,0.08,26.85
2025-11-20 16:57:53,0,0.09,26.49
2025-11-20 16:59:53,0,0.08,26.28
2025-11-20 17:01:53,0,0.03,26.06
2025-11-20 17:03:53,0,0.08,25.92
2025-11-20 17:05:53,0,0.09,25.61
2025-11-20 17:07:53,0,0.04,25.46
2025-11-20 17:09:53,0,0.05,25.37
2025-11-20 17:11:53,0,0.04,25.04
2025-11-20 17:13:53,0,0.08,24.88
2025-11-20 17:15:53,0,0.09,24.69
2025-11-20 17:17:53,0,0.03,24.51
2025-11-20 17:19:53,0,0.04,24.38
2025-11-20 17:21:53,0,0.07,24.26
2025-11-20 17:23:53,0,0.04,24.12
2025-11-20 17:25:53,0,0.04,24.02
2025-11-20 17:27:53,0,0.06,23.94
2025-11-20 17:29:53,0,0.04,23.82
2025-11-20 17:31:53,0,0.04,23.71
2025-11-20 17:33:53,0,0.07,23.66
2025-11-20 17:35:53,0,0.04,23.51
2025-11-20 17:37:53,0,0.02,23.42
2025-11-20 17:39:53,0,0.04,23.36
2025-11-20 17:41:53,0,0.06,23.28
2025-11-20 17:43:53,0,0.04,23.21
2025-11-20 17:45:53,0,0.04,23.10
2025-11-20 17:47:53,0,0.02,22.95
2025-11-20 17:49:53,0,0.06,22.90
2025-11-20 17:51:53,0,0.01,22.80
2025-11-20 17:53:53,0,0.04,22.75
2025-11-20 17:55:53,0,0.05,22.66
2025-11-20 17:57:53,0,0.04,22.60
2025-11-20 17:59:53,0,-0.00,22.49
2025-11-20 18:01:53,0,0.08,22.49
2025-11-20 18:03:53,0,-0.00,22.39
2025-11-20 18:05:53,0,-0.01,22.39
2025-11-20 18:07:53,0,0.08,22.39
2025-11-20 18:09:53,0,0.04,22.35
2025-11-20 18:11:53,0,-0.00,22.29
2025-11-20 18:13:53,0,-0.01,22.29
2025-11-20 18:15:53,0,-0.01,22.29
2025-11-20 18:17:53,0,0.08,22.29
2025-11-20 18:19:53,0,0.03,22.22
2025-11-20 18:21:53,0,-0.01,22.19
2025-11-20 18:23:53,0,-0.01,22.19
2025-11-20 18:25:53,0,0.04,22.14
2025-11-20 18:27:53,0,-0.01,22.09
2025-11-20 18:29:53,0,0.04,22.09
2025-11-20 18:31:53,0,0.02,22.02
2025-11-20 18:33:53,0,0.01,21.94
2025-11-20 18:35:53,0,0.04,21.89
2025-11-20 18:37:53,0,0.04,21.79
2025-11-20 18:39:53,0,-0.01,21.69
2025-11-20 18:41:53,0,0.04,21.84
2025-11-20 18:43:53,0,0.04,22.14
2025-11-20 18:45:53,0,0.08,22.49
2025-11-20 18:47:53,0,0.09,23.00
2025-11-20 18:49:53,0,0.04,23.36
2025-11-20 18:51:53,0,0.04,23.36
2025-11-20 18:53:53,0,0.04,23.10
2025-11-20 18:55:53,0,0.05,22.85
2025-11-20 18:57:53,0,-0.00,22.65
2025-11-20 18:59:53,0,-0.01,22.44
2025-11-20 19:01:53,0,0.04,22.34
2025-11-20 19:03:53,0,0.05,22.62
2025-11-20 19:05:53,0,0.04,23.05
2025-11-20 19:07:53,0,0.02,23.71
2025-11-20 19:09:53,0,0.05,24.38
2025-11-20 19:11:53,0,0.09,24.79
2025-11-20 19:13:53,0,0.09,25.09
2025-11-20 19:15:53,0,0.04,25.51
2025-11-20 19:17:53,0,0.04,25.82
2025-11-20 19:19:53,0,0.05,26.03
2025-11-20 19:21:53,0,0.04,26.13
2025-11-20 19:23:53,0,0.09,26.34
2025-11-20 19:25:53,0,0.08,26.64
2025-11-20 19:27:53,0,0.13,27.06
2025-11-20 19:29:53,0,0.09,27.59
2025-11-20 19:31:53,0,0.11,28.30
2025-11-20 19:33:53,1,0.18,29.17
2025-11-20 19:35:53,1,0.20,30.14
2025-11-20 19:37:53,1,0.26,31.38
2025-11-20 19:39:53,1,0.31,32.91
2025-11-20 19:41:53,1,0.42,34.93
2025-11-20 19:43:53,1,0.45,37.36
2025-11-20 19:45:53,1,0.58,40.35
2025-11-20 19:47:53,1,0.73,43.44
2025-11-20 19:49:53,1,0.69,46.21
2025-11-20 19:51:53,1,0.75,49.14
2025-11-20 19:53:53,1,0.87,51.85
2025-11-20 19:55:53,1,0.77,53.94
2025-11-20 19:57:53,1,0.79,55.37
2025-11-20 19:59:53,1,0.80,56.28
2025-11-20 20:01:53,1,0.72,56.69
2025-11-20 20:03:53,1,0.72,56.93
2025-11-20 20:05:53,1,0.66,56.95
2025-11-20 20:07:53,1,0.68,56.97
2025-11-20 20:09:53,1,0.72,57.20
2025-11-20 20:11:53,1,0.67,57.28
2025-11-20 20:13:53,1,0.66,57.13
2025-11-20 20:15:53,1,0.65,56.86
2025-11-20 20:17:53,1,0.72,56.53
2025-11-20 20:19:53,1,0.65,56.03
2025-11-20 20:21:53,1,0.63,55.70
2025-11-20 20:23:53,1,0.61,55.13
2025-11-20 20:25:53,1,0.62,54.65
2025-11-20 20:27:53,1,0.61,54.17
2025-11-20 20:29:53,1,0.61,53.78
2025-11-20 20:31:53,1,0.56,53.33
2025-11-20 20:33:53,1,0.55,52.84
2025-11-20 20:35:53,1,0.59,52.54
2025-11-20 20:37:53,1,0.56,51.83
2025-11-20 20:39:53,1,0.58,51.32
2025-11-20 20:41:53,1,0.57,50.96
2025-11-20 20:43:53,1,0.61,51.10
2025-11-20 20:45:53,1,0.72,51.70
2025-11-20 20:47:53,1,0.68,52.49
2025-11-20 20:49:53,1,0.79,53.82
2025-11-20 20:51:53,1,0.87,55.79
2025-11-20 20:53:53,1,0.97,57.79
2025-11-20 20:55:53,1,0.89,59.73
2025-11-20 20:57:53,1,0.94,61.57
2025-11-20 20:59:53,1,0.94,62.49
2025-11-20 21:01:53,1,0.98,63.29
2025-11-20 21:03:53,1,0.98,63.73
