sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,362
Sensor ID:,29529
Sensor Type:,EXACTv2 
Start time:,2025-11-21 13:44:30
Stop time:,2025-11-29 18:12:30
Total number of logs:,11788
Maximum temperature:,35.73
Errors:,0
Stove Name:,LPG
Cooking Events per day:,0.0
Cooking Time (min/day):,0.0
Number of days of cooking:,0

Timestamp,Usage EXACT 29529,Gradient EXACT 29529,Temperature EXACT 29529
2025-11-21 13:46:30,0,0.02,30.41
2025-11-21 13:48:30,0,0.02,30.35
2025-11-21 13:50:30,0,0.02,30.30
2025-11-21 13:52:30,0,-0.02,30.30
2025-11-21 13:54:30,0,-0.00,30.39
2025-11-21 13:56:30,0,0.01,30.41
2025-11-21 13:58:30,0,0.00,30.49
2025-11-21 14:00:30,0,-0.03,30.41
2025-11-21 14:02:30,0,-0.02,30.30
2025-11-21 14:04:30,0,0.02,30.19
2025-11-21 14:06:30,0,-0.03,30.12
2025-11-21 14:08:30,0,-0.03,30.08
2025-11-21 14:10:30,0,0.01,30.08
2025-11-21 14:12:30,0,0.02,30.08
2025-11-21 14:14:30,0,0.01,30.07
2025-11-21 14:16:30,0,0.02,29.98
2025-11-21 14:18:30,0,0.02,29.87
2025-11-21 14:20:30,0,-0.07,29.76
2025-11-21 14:22:30,0,0.00,29.86
2025-11-21 14:24:30,0,0.01,29.86
2025-11-21 14:26:30,0,0.02,29.86
2025-11-21 14:28:30,0,0.02,29.87
2025-11-21 14:30:30,0,0.02,29.87
2025-11-21 14:32:30,0,0.02,29.98
2025-11-21 14:34:30,0,0.02,29.98
2025-11-21 14:36:30,0,-0.03,30.03
2025-11-21 14:38:30,0,0.02,30.08
2025-11-21 14:40:30,0,0.02,30.08
2025-11-21 14:42:30,0,0.02,30.08
2025-11-21 14:44:30,0,-0.03,30.09
2025-11-21 14:46:30,0,0.01,30.19
2025-11-21 14:48:30,0,-0.03,30.19
2025-11-21 14:50:30,0,0.01,30.29
2025-11-21 14:52:30,0,0.02,30.30
2025-11-21 14:54:30,0,0.02,30.30
2025-11-21 14:56:30,0,0.02,30.30
2025-11-21 14:58:30,0,-0.03,30.24
2025-11-21 15:00:30,0,0.02,30.19
2025-11-21 15:02:30,0,0.02,30.19
2025-11-21 15:04:30,0,0.02,30.19
2025-11-21 15:06:30,0,0.02,30.19
2025-11-21 15:08:30,0,-0.03,30.19
2025-11-21 15:10:30,0,-0.00,30.28
2025-11-21 15:12:30,0,0.02,30.30
2025-11-21 15:14:30,0,0.00,30.28
2025-11-21 15:16:30,0,-0.05,30.21
2025-11-21 15:18:30,0,0.00,30.19
2025-11-21 15:20:30,0,0.02,30.19
2025-11-21 15:22:30,0,0.02,30.19
2025-11-21 15:24:30,0,0.02,30.19
2025-11-21 15:26:30,0,0.01,30.19
2025-11-21 15:28:30,0,0.02,30.19
2025-11-21 15:30:30,0,0.02,30.13
2025-11-21 15:32:30,0,0.02,30.08
2025-11-21 15:34:30,0,0.00,29.98
2025-11-21 15:36:30,0,0.02,29.87
2025-11-21 15:38:30,0,0.02,29.76
2025-11-21 15:40:30,0,0.02,29.65
2025-11-21 15:42:30,0,0.02,29.55
2025-11-21 15:44:30,0,-0.03,29.49
2025-11-21 15:46:30,0,0.02,29.44
2025-11-21 15:48:30,0,0.02,29.44
2025-11-21 15:50:30,0,0.02,29.44
2025-11-21 15:52:30,0,0.02,29.44
2025-11-21 15:54:30,0,0.02,29.44
2025-11-21 15:56:30,0,0.02,29.44
2025-11-21 15:58:30,0,-0.03,29.33
2025-11-21 16:00:30,0,0.02,29.33
2025-11-21 16:02:30,0,0.02,29.33
2025-11-21 16:04:30,0,0.01,29.27
2025-11-21 16:06:30,0,0.02,29.23
2025-11-21 16:08:30,0,-0.02,29.14
2025-11-21 16:10:30,0,0.02,29.12
2025-11-21 16:12:30,0,0.02,29.12
2025-11-21 16:14:30,0,0.02,29.02
2025-11-21 16:16:30,0,-0.01,28.93
2025-11-21 16:18:30,0,0.02,28.91
2025-11-21 16:20:30,0,0.02,28.91
2025-11-21 16:22:30,0,0.02,28.91
2025-11-21 16:24:30,0,0.02,28.91
2025-11-21 16:26:30,0,0.02,28.91
2025-11-21 16:28:30,0,0.02,28.91
2025-11-21 16:30:30,0,0.02,28.91
2025-11-21 16:32:30,0,0.02,28.91
2025-11-21 16:34:30,0,0.02,28.91
2025-11-21 16:36:30,0,0.02,28.91
2025-11-21 16:38:30,0,0.04,28.82
2025-11-21 16:40:30,0,0.02,28.80
2025-11-21 16:42:30,0,0.02,28.70
2025-11-21 16:44:30,0,-0.02,28.64
2025-11-21 16:46:30,0,0.02,28.59
2025-11-21 16:48:30,0,0.02,28.59
2025-11-21 16:50:30,0,0.02,28.59
2025-11-21 16:52:30,0,0.02,28.59
2025-11-21 16:54:30,0,0.02,28.59
2025-11-21 16:56:30,0,0.01,28.58
2025-11-21 16:58:30,0,-0.02,28.49
2025-11-21 17:00:30,0,0.02,28.49
2025-11-21 17:02:30,0,0.02,28.49
2025-11-21 17:04:30,0,0.02,28.49
2025-11-21 17:06:30,0,0.02,28.49
2025-11-21 17:08:30,0,0.02,28.43
2025-11-21 17:10:30,0,0.02,28.38
2025-11-21 17:12:30,0,0.02,28.38
2025-11-21 17:14:30,0,0.02,28.38
2025-11-21 17:16:30,0,0.02,28.38
2025-11-21 17:18:30,0,0.02,28.38
2025-11-21 17:20:30,0,-0.03,28.32
2025-11-21 17:22:30,0,0.02,28.27
2025-11-21 17:24:30,0,0.02,28.27
2025-11-21 17:26:30,0,0.01,28.26
2025-11-21 17:28:30,0,-0.03,28.17
2025-11-21 17:30:30,0,0.02,28.17
2025-11-21 17:32:30,0,0.02,28.16
2025-11-21 17:34:30,0,0.02,28.06
2025-11-21 17:36:30,0,0.02,28.06
2025-11-21 17:38:30,0,0.02,28.06
2025-11-21 17:40:30,0,0.02,27.96
2025-11-21 17:42:30,0,0.02,27.96
2025-11-21 17:44:30,0,-0.03,27.90
2025-11-21 17:46:30,0,-0.02,27.85
2025-11-21 17:48:30,0,0.02,27.85
2025-11-21 17:50:30,0,0.02,27.85
2025-11-21 17:52:30,0,0.02,27.85
2025-11-21 17:54:30,0,-0.02,27.80
2025-11-21 17:56:30,0,0.02,27.75
2025-11-21 17:58:30,0,0.02,27.75
2025-11-21 18:00:30,0,0.01,27.74
2025-11-21 18:02:30,0,-0.03,27.64
2025-11-21 18:04:30,0,0.02,27.64
2025-11-21 18:06:30,0,0.02,27.54
2025-11-21 18:08:30,0,0.02,27.54
2025-11-21 18:10:30,0,0.02,27.43
2025-11-21 18:12:30,0,0.01,27.41
2025-11-21 18:14:30,0,0.02,27.33
2025-11-21 18:16:30,0,0.02,27.27
2025-11-21 18:18:30,0,0.02,27.22
2025-11-21 18:20:30,0,0.01,27.13
2025-11-21 18:22:30,0,0.02,27.12
2025-11-21 18:24:30,0,-0.03,27.01
2025-11-21 18:26:30,0,0.02,27.01
2025-11-21 18:28:30,0,0.02,27.01
2025-11-21 18:30:30,0,-0.02,26.92
2025-11-21 18:32:30,0,0.01,26.90
2025-11-21 18:34:30,0,0.02,26.81
2025-11-21 18:36:30,0,0.02,26.81
2025-11-21 18:38:30,0,-0.03,26.70
2025-11-21 18:40:30,0,0.02,26.70
2025-11-21 18:42:30,0,0.01,26.64
2025-11-21 18:44:30,0,0.02,26.60
2025-11-21 18:46:30,0,0.01,26.59
2025-11-21 18:48:30,0,0.02,26.49
2025-11-21 18:50:30,0,0.02,26.49
2025-11-21 18:52:30,0,0.02,26.44
2025-11-21 18:54:30,0,0.02,26.39
2025-11-21 18:56:30,0,0.02,26.39
2025-11-21 18:58:30,0,0.02,26.39
2025-11-21 19:00:30,0,0.02,26.39
2025-11-21 19:02:30,0,0.02,26.39
2025-11-21 19:04:30,0,0.02,26.39
2025-11-21 19:06:30,0,0.03,26.43
2025-11-21 19:08:30,0,0.02,26.49
2025-11-21 19:10:30,0,0.02,26.49
2025-11-21 19:12:30,0,0.02,26.49
2025-11-21 19:14:30,0,0.00,26.49
2025-11-21 19:16:30,0,0.03,26.60
2025-11-21 19:18:30,0,0.02,26.60
2025-11-21 19:20:30,0,0.02,26.60
2025-11-21 19:22:30,0,0.02,26.60
2025-11-21 19:24:30,0,0.00,26.65
2025-11-21 19:26:30,0,0.01,26.69
2025-11-21 19:28:30,0,0.02,26.70
2025-11-21 19:30:30,0,0.02,26.70
2025-11-21 19:32:30,0,0.02,26.70
2025-11-21 19:34:30,0,0.02,26.70
2025-11-21 19:36:30,0,0.02,26.70
2025-11-21 19:38:30,0,0.02,26.70
2025-11-21 19:40:30,0,0.02,26.70
2025-11-21 19:42:30,0,-0.01,26.75
2025-11-21 19:44:30,0,0.02,26.81
2025-11-21 19:46:30,0,0.02,26.81
2025-11-21 19:48:30,0,0.02,26.81
2025-11-21 19:50:30,0,0.02,26.81
2025-11-21 19:52:30,0,0.02,26.81
2025-11-21 19:54:30,0,-0.02,26.72
2025-11-21 19:56:30,0,0.02,26.70
2025-11-21 19:58:30,0,0.02,26.70
2025-11-21 20:00:30,0,0.02,26.70
2025-11-21 20:02:30,0,0.02,26.69
2025-11-21 20:04:30,0,0.02,26.61
2025-11-21 20:06:30,0,0.02,26.60
2025-11-21 20:08:30,0,0.02,26.60
2025-11-21 20:10:30,0,0.02,26.59
2025-11-21 20:12:30,0,0.00,26.49
2025-11-21 20:14:30,0,0.02,26.49
2025-11-21 20:16:30,0,0.02,26.48
2025-11-21 20:18:30,0,0.03,26.40
2025-11-21 20:20:30,0,0.02,26.39
2025-11-21 20:22:30,0,0.02,26.39
2025-11-21 20:24:30,0,0.01,26.33
2025-11-21 20:26:30,0,0.02,26.29
2025-11-21 20:28:30,0,0.02,26.29
2025-11-21 20:30:30,0,-0.02,26.23
2025-11-21 20:32:30,0,0.02,26.18
2025-11-21 20:34:30,0,0.02,26.18
2025-11-21 20:36:30,0,0.02,26.18
2025-11-21 20:38:30,0,0.02,26.08
2025-11-21 20:40:30,0,0.02,26.08
2025-11-21 20:42:30,0,0.02,26.08
2025-11-21 20:44:30,0,0.02,26.03
2025-11-21 20:46:30,0,0.02,25.98
2025-11-21 20:48:30,0,0.02,25.98
2025-11-21 20:50:30,0,0.02,25.98
2025-11-21 20:52:30,0,0.03,25.92
2025-11-21 20:54:30,0,0.02,25.87
2025-11-21 20:56:30,0,0.02,25.87
2025-11-21 20:58:30,0,0.02,25.87
2025-11-21 21:00:30,0,0.02,25.87
2025-11-21 21:02:30,0,0.01,25.81
2025-11-21 21:04:30,0,0.02,25.77
2025-11-21 21:06:30,0,0.02,25.77
2025-11-21 21:08:30,0,0.02,25.77
2025-11-21 21:10:30,0,0.02,25.77
2025-11-21 21:12:30,0,0.02,25.77
2025-11-21 21:14:30,0,0.02,25.77
2025-11-21 21:16:30,0,0.03,25.77
2025-11-21 21:18:30,0,0.01,25.66
2025-11-21 21:20:30,0,0.02,25.66
2025-11-21 21:22:30,0,0.02,25.66
2025-11-21 21:24:30,0,0.02,25.61
2025-11-21 21:26:30,0,0.02,25.56
2025-11-21 21:28:30,0,0.02,25.56
2025-11-21 21:30:30,0,0.02,25.51
2025-11-21 21:32:30,0,0.02,25.46
2025-11-21 21:34:30,0,0.02,25.46
2025-11-21 21:36:30,0,0.00,25.41
