sep=,

firmware launcher:,8.02
firmware GUI,6.70

Household ID:,387
Sensor ID:,13366
Sensor Type:,FUELv2 
Start time:,2025-11-10 12:28:02
Stop time:,2025-11-17 12:53:02
Total number of logs:,10105
Study arm:,0

Fuel type:,charcoal
Fuel calibration value:,0.00
Fuel resolution (gram):,1.00
Fuel consumption (kg/day):,0.95

Timestamp,Weight (kg),w_smooth,consumption (kg)
2025-11-10 12:29:02,-0.001887,,0.0
2025-11-10 12:30:02,-0.001677,,0.0
2025-11-10 12:31:02,-0.001433,-0.001433,0.0
2025-11-10 12:32:02,-0.000994,-0.000994,0.0
2025-11-10 12:33:02,-0.00088,-0.00088,0.0
2025-11-10 12:34:02,1.704241,1.704241,0.0
2025-11-10 12:35:02,2.973228,2.973228,0.0
2025-11-10 12:36:02,2.974843,2.974843,0.0
2025-11-10 12:37:02,2.976078,2.976078,0.0
2025-11-10 12:38:02,2.976078,2.976078,0.0
2025-11-10 12:39:02,2.978032,2.978032,0.0
2025-11-10 12:40:02,2.978032,2.978032,0.0
2025-11-10 12:41:02,2.978054,2.978054,0.0
2025-11-10 12:42:02,2.978054,2.978054,0.0
2025-11-10 12:43:02,2.978054,2.978054,0.0
2025-11-10 12:44:02,2.978465,2.978465,0.0
2025-11-10 12:45:02,2.978644,2.978644,0.0
2025-11-10 12:46:02,2.978989,2.978989,0.0
2025-11-10 12:47:02,2.979354,2.979354,0.0
2025-11-10 12:48:02,2.979755,2.979755,0.0
2025-11-10 12:49:02,2.980104,2.980104,0.0
2025-11-10 12:50:02,2.981323,2.981323,0.0
2025-11-10 12:51:02,2.981345,2.981345,0.0
2025-11-10 12:52:02,2.981852,2.981852,0.0
2025-11-10 12:53:02,2.982025,2.982025,0.0
2025-11-10 12:54:02,2.982794,2.982794,0.0
2025-11-10 12:55:02,2.983096,2.983096,0.0
2025-11-10 12:56:02,2.983183,2.983183,0.0
2025-11-10 12:57:02,2.984566,2.984566,0.0
2025-11-10 12:58:02,2.984912,2.984912,0.0
2025-11-10 12:59:02,2.98535,2.98535,0.0
2025-11-10 13:00:02,2.985523,2.985523,0.0
2025-11-10 13:01:02,2.985782,2.985782,0.0
2025-11-10 13:02:02,2.986329,2.986329,0.0
2025-11-10 13:03:02,2.986329,2.986329,0.0
2025-11-10 13:04:02,2.986329,2.986329,0.0
2025-11-10 13:05:02,2.986329,2.986329,0.0
2025-11-10 13:06:02,2.986428,2.986329,0.0
2025-11-10 13:07:02,2.986134,2.986428,0.0
2025-11-10 13:08:02,2.986428,2.986428,0.0
2025-11-10 13:09:02,2.986974,2.986974,0.0
2025-11-10 13:10:02,2.986987,2.986987,0.0
2025-11-10 13:11:02,2.986987,2.986987,0.0
2025-11-10 13:12:02,2.986987,2.986987,0.0
2025-11-10 13:13:02,2.986987,2.986987,0.0
2025-11-10 13:14:02,2.985501,2.985501,0.0
2025-11-10 13:15:02,2.985501,2.985501,0.0
2025-11-10 13:16:02,2.985501,2.985501,0.0
2025-11-10 13:17:02,2.986369,2.986369,0.0
2025-11-10 13:18:02,2.986369,2.986369,0.0
2025-11-10 13:19:02,2.986607,2.986607,0.0
2025-11-10 13:20:02,2.987107,2.987088,0.0
2025-11-10 13:21:02,2.987107,2.987088,0.0
2025-11-10 13:22:02,2.987088,2.987088,0.0
2025-11-10 13:23:02,2.987088,2.987088,0.0
2025-11-10 13:24:02,2.987064,2.987064,0.0
2025-11-10 13:25:02,2.986283,2.987064,0.0
2025-11-10 13:26:02,2.987064,2.986517,0.0
2025-11-10 13:27:02,2.986517,2.986517,0.0
2025-11-10 13:28:02,2.986283,2.986517,0.0
2025-11-10 13:29:02,2.986517,2.986517,0.0
2025-11-10 13:30:02,2.987181,2.987181,0.0
2025-11-10 13:31:02,2.987456,2.987456,0.0
2025-11-10 13:32:02,2.987851,2.987851,0.0
2025-11-10 13:33:02,2.98803,2.987851,0.0
2025-11-10 13:34:02,2.98803,2.987851,0.0
2025-11-10 13:35:02,2.987851,2.987851,0.0
2025-11-10 13:36:02,2.98607,2.98607,0.0
2025-11-10 13:37:02,2.985078,2.985078,0.0
2025-11-10 13:38:02,2.984554,2.984554,0.0
2025-11-10 13:39:02,2.984399,2.984399,0.0
2025-11-10 13:40:02,2.984115,2.984115,0.0
2025-11-10 13:41:02,2.983868,2.983868,0.0
2025-11-10 13:42:02,2.982698,2.982698,0.0
2025-11-10 13:43:02,2.982611,2.982611,0.0
2025-11-10 13:44:02,2.982337,2.982337,0.0
2025-11-10 13:45:02,2.981688,2.981688,0.0
2025-11-10 13:46:02,2.981358,2.981358,0.0
2025-11-10 13:47:02,2.981182,2.981182,0.0
2025-11-10 13:48:02,2.980669,2.980669,0.0
2025-11-10 13:49:02,2.980558,2.980558,0.0
2025-11-10 13:50:02,2.980558,2.980558,0.0
2025-11-10 13:51:02,2.980558,2.980558,0.0
2025-11-10 13:52:02,2.986505,2.986505,0.0
2025-11-10 13:53:02,2.986733,2.986733,0.0
2025-11-10 13:54:02,2.986758,2.986733,0.0
2025-11-10 13:55:02,2.986733,2.986733,0.0
2025-11-10 13:56:02,2.986733,2.986733,0.0
2025-11-10 13:57:02,2.985708,2.985708,0.0
2025-11-10 13:58:02,2.98564,2.98564,0.0
2025-11-10 13:59:02,2.985227,2.985227,0.0
2025-11-10 14:00:02,2.648834,2.648834,0.33639300000000016
2025-11-10 14:01:02,2.646049,2.646049,0.0
2025-11-10 14:02:02,2.507051,2.507051,0.13899799999999995
2025-11-10 14:03:02,2.504151,2.504151,0.0
2025-11-10 14:04:02,2.499409,2.499409,0.0
2025-11-10 14:05:02,2.495055,2.495055,0.0
2025-11-10 14:06:02,2.494774,2.494774,0.0
2025-11-10 14:07:02,2.494209,2.494209,0.0
2025-11-10 14:08:02,2.49349,2.49349,0.0
2025-11-10 14:09:02,2.493363,2.493363,0.0
2025-11-10 14:10:02,2.493267,2.493267,0.0
2025-11-10 14:11:02,2.493267,2.493267,0.0
2025-11-10 14:12:02,2.493267,2.493267,0.0
2025-11-10 14:13:02,2.493249,2.493249,0.0
2025-11-10 14:14:02,2.493128,2.493128,0.0
2025-11-10 14:15:02,2.492647,2.492647,0.0
2025-11-10 14:16:02,2.492267,2.492267,0.0
2025-11-10 14:17:02,2.492267,2.492267,0.0
2025-11-10 14:18:02,2.492267,2.492267,0.0
2025-11-10 14:19:02,2.492149,2.492149,0.0
2025-11-10 14:20:02,2.492149,2.492149,0.0
2025-11-10 14:21:02,2.491943,2.491943,0.0
2025-11-10 14:22:02,2.491943,2.491943,0.0
2025-11-10 14:23:02,2.491538,2.491538,0.0
2025-11-10 14:24:02,2.491482,2.491482,0.0
2025-11-10 14:25:02,2.491427,2.491427,0.0
2025-11-10 14:26:02,2.491427,2.491427,0.0
2025-11-10 14:27:02,2.491288,2.491288,0.0
2025-11-10 14:28:02,2.491248,2.491248,0.0
2025-11-10 14:29:02,2.491056,2.491056,0.0
2025-11-10 14:30:02,2.491056,2.491056,0.0
2025-11-10 14:31:02,2.490893,2.490893,0.0
2025-11-10 14:32:02,2.490643,2.490643,0.0
2025-11-10 14:33:02,2.490315,2.490315,0.0
2025-11-10 14:34:02,2.490315,2.490315,0.0
2025-11-10 14:35:02,2.490013,2.490315,0.0
2025-11-10 14:36:02,2.490315,2.490315,0.0
2025-11-10 14:37:02,2.490315,2.490315,0.0
2025-11-10 14:38:02,2.490979,2.490315,0.0
2025-11-10 14:39:02,2.489948,2.490473,0.0
2025-11-10 14:40:02,2.490581,2.490581,0.0
2025-11-10 14:41:02,2.490473,2.490581,0.0
2025-11-10 14:42:02,2.490581,2.490581,0.0
2025-11-10 14:43:02,2.490581,2.490581,0.0
2025-11-10 14:44:02,2.490581,2.490581,0.0
2025-11-10 14:45:02,2.490473,2.490473,0.0
2025-11-10 14:46:02,2.474191,2.474191,0.0
2025-11-10 14:47:02,2.474191,2.474191,0.0
2025-11-10 14:48:02,2.474191,2.474191,0.0
2025-11-10 14:49:02,2.474871,2.474871,0.0
2025-11-10 14:50:02,2.475914,2.475914,0.0
2025-11-10 14:51:02,2.476272,2.476272,0.0
2025-11-10 14:52:02,2.476516,2.476516,0.0
2025-11-10 14:53:02,2.476924,2.476924,0.0
2025-11-10 14:54:02,2.476924,2.476924,0.0
2025-11-10 14:55:02,2.476924,2.476924,0.0
2025-11-10 14:56:02,2.476794,2.476794,0.0
2025-11-10 14:57:02,2.476671,2.476671,0.0
2025-11-10 14:58:02,2.476671,2.476671,0.0
2025-11-10 14:59:02,2.476671,2.476671,0.0
2025-11-10 15:00:02,2.476581,2.476671,0.0
2025-11-10 15:01:02,2.476581,2.476671,0.0
2025-11-10 15:02:02,2.47739,2.477248,0.0
2025-11-10 15:03:02,2.477248,2.477248,0.0
2025-11-10 15:04:02,2.477248,2.477248,0.0
2025-11-10 15:05:02,2.477248,2.477248,0.0
2025-11-10 15:06:02,2.477248,2.477248,0.0
2025-11-10 15:07:02,2.477248,2.477248,0.0
2025-11-10 15:08:02,2.47655,2.477248,0.0
2025-11-10 15:09:02,2.477863,2.477863,0.0
2025-11-10 15:10:02,2.477891,2.477891,0.0
2025-11-10 15:11:02,2.477909,2.477909,0.0
2025-11-10 15:12:02,2.47824,2.47824,0.0
2025-11-10 15:13:02,2.478286,2.478286,0.0
2025-11-10 15:14:02,2.478286,2.478286,0.0
2025-11-10 15:15:02,2.478286,2.478286,0.0
2025-11-10 15:16:02,2.478434,2.478286,0.0
2025-11-10 15:17:02,2.478286,2.478286,0.0
2025-11-10 15:18:02,2.478033,2.478033,0.0
2025-11-10 15:19:02,2.477835,2.477993,0.0
2025-11-10 15:20:02,2.477993,2.477993,0.0
2025-11-10 15:21:02,2.477993,2.477993,0.0
2025-11-10 15:22:02,2.477835,2.477993,0.0
2025-11-10 15:23:02,2.477993,2.477993,0.0
2025-11-10 15:24:02,2.478212,2.478212,0.0
2025-11-10 15:25:02,2.47832,2.47832,0.0
2025-11-10 15:26:02,2.47832,2.47832,0.0
2025-11-10 15:27:02,2.47907,2.47907,0.0
2025-11-10 15:28:02,2.47907,2.47907,0.0
2025-11-10 15:29:02,2.479166,2.479166,0.0
2025-11-10 15:30:02,2.479166,2.479166,0.0
2025-11-10 15:31:02,2.480598,2.480598,0.0
2025-11-10 15:32:02,2.482155,2.482155,0.0
2025-11-10 15:33:02,2.482155,2.482155,0.0
2025-11-10 15:34:02,2.482155,2.482155,0.0
2025-11-10 15:35:02,2.482155,2.482155,0.0
2025-11-10 15:36:02,2.482155,2.482155,0.0
2025-11-10 15:37:02,2.486274,2.486274,0.0
2025-11-10 15:38:02,2.486274,2.486274,0.0
2025-11-10 15:39:02,2.486274,2.486274,0.0
2025-11-10 15:40:02,2.483726,2.483726,0.0
2025-11-10 15:41:02,2.482717,2.482717,0.0
2025-11-10 15:42:02,2.482717,2.482717,0.0
2025-11-10 15:43:02,2.482717,2.482717,0.0
2025-11-10 15:44:02,2.483977,2.483977,0.0
2025-11-10 15:45:02,2.484264,2.484264,0.0
2025-11-10 15:46:02,2.48544,2.48544,0.0
2025-11-10 15:47:02,2.485523,2.485523,0.0
2025-11-10 15:48:02,2.485811,2.485811,0.0
2025-11-10 15:49:02,2.485811,2.485811,0.0
2025-11-10 15:50:02,2.485811,2.485811,0.0
2025-11-10 15:51:02,2.48468,2.48468,0.0
2025-11-10 15:52:02,2.48468,2.48468,0.0
2025-11-10 15:53:02,2.48468,2.48468,0.0
2025-11-10 15:54:02,2.484755,2.484755,0.0
2025-11-10 15:55:02,2.484755,2.484755,0.0
2025-11-10 15:56:02,2.484755,2.484755,0.0
2025-11-10 15:57:02,2.484344,2.484344,0.0
2025-11-10 15:58:02,2.484344,2.484344,0.0
2025-11-10 15:59:02,2.483977,2.484344,0.0
2025-11-10 16:00:02,2.484344,2.484344,0.0
2025-11-10 16:01:02,2.484344,2.483977,0.0
2025-11-10 16:02:02,2.483844,2.483844,0.0
2025-11-10 16:03:02,2.483785,2.483785,0.0
2025-11-10 16:04:02,2.483714,2.483714,0.0
2025-11-10 16:05:02,2.483701,2.483701,0.0
2025-11-10 16:06:02,2.483701,2.483701,0.0
2025-11-10 16:07:02,2.483701,2.483701,0.0
2025-11-10 16:08:02,2.483359,2.483359,0.0
2025-11-10 16:09:02,2.483352,2.483352,0.0
2025-11-10 16:10:02,2.482927,2.482927,0.0
2025-11-10 16:11:02,2.482689,2.482689,0.0
2025-11-10 16:12:02,2.482689,2.482689,0.0
2025-11-10 16:13:02,2.482571,2.482571,0.0
2025-11-10 16:14:02,2.482571,2.482571,0.0
2025-11-10 16:15:02,2.482571,2.482571,0.0
2025-11-10 16:16:02,2.482698,2.482698,0.0
2025-11-10 16:17:02,2.482698,2.482698,0.0
2025-11-10 16:18:02,2.482698,2.482698,0.0
2025-11-10 16:19:02,2.475667,2.475667,0.0
2025-11-10 16:20:02,2.475408,2.475408,0.0
2025-11-10 16:21:02,2.474973,2.474973,0.0
2025-11-10 16:22:02,2.474544,2.474544,0.0
2025-11-10 16:23:02,2.474497,2.474497,0.0
2025-11-10 16:24:02,2.474497,2.474497,0.0
2025-11-10 16:25:02,2.474497,2.474497,0.0
2025-11-10 16:26:02,2.474553,2.474553,0.0
2025-11-10 16:27:02,2.474553,2.474553,0.0
2025-11-10 16:28:02,2.474553,2.474553,0.0
2025-11-10 16:29:02,2.474222,2.474222,0.0
2025-11-10 16:30:02,2.474222,2.474222,0.0
2025-11-10 16:31:02,2.474099,2.474222,0.0
2025-11-10 16:32:02,2.474222,2.474222,0.0
2025-11-10 16:33:02,2.474222,2.474099,0.0
2025-11-10 16:34:02,2.474071,2.474071,0.0
2025-11-10 16:35:02,2.473969,2.473969,0.0
2025-11-10 16:36:02,2.473349,2.473349,0.0
2025-11-10 16:37:02,2.473349,2.473349,0.0
2025-11-10 16:38:02,2.473117,2.473117,0.0
2025-11-10 16:39:02,2.473067,2.473117,0.0
2025-11-10 16:40:02,2.473117,2.473117,0.0
2025-11-10 16:41:02,2.473117,2.473117,0.0
2025-11-10 16:42:02,2.473117,2.473117,0.0
2025-11-10 16:43:02,2.472827,2.47296,0.0
2025-11-10 16:44:02,2.47296,2.47296,0.0
2025-11-10 16:45:02,2.47296,2.47296,0.0
2025-11-10 16:46:02,2.47296,2.47296,0.0
2025-11-10 16:47:02,2.472688,2.47296,0.0
2025-11-10 16:48:02,2.47296,2.47296,0.0
2025-11-10 16:49:02,2.473061,2.47296,0.0
2025-11-10 16:50:02,2.472793,2.473061,0.0
2025-11-10 16:51:02,2.473061,2.473061,0.0
2025-11-10 16:52:02,2.473061,2.472793,0.0
2025-11-10 16:53:02,2.472793,2.472793,0.0
2025-11-10 16:54:02,2.472558,2.472558,0.0
